pairs=82 jobs=12160
  400/12160  12s  usage={'prompt': 104885, 'completion': 400, 'calls': 400, 'cached': 0, 'errors': 0}
  800/12160  32s  usage={'prompt': 207942, 'completion': 800, 'calls': 800, 'cached': 0, 'errors': 0}
  1200/12160  47s  usage={'prompt': 311016, 'completion': 1200, 'calls': 1200, 'cached': 0, 'errors': 0}
  1600/12160  103s  usage={'prompt': 411639, 'completion': 1600, 'calls': 1600, 'cached': 0, 'errors': 0}
  2000/12160  128s  usage={'prompt': 510346, 'completion': 2000, 'calls': 2000, 'cached': 0, 'errors': 0}
  2400/12160  146s  usage={'prompt': 608987, 'completion': 2400, 'calls': 2400, 'cached': 0, 'errors': 0}
  2800/12160  166s  usage={'prompt': 713130, 'completion': 2800, 'calls': 2800, 'cached': 0, 'errors': 0}
  3200/12160  183s  usage={'prompt': 815726, 'completion': 3200, 'calls': 3200, 'cached': 0, 'errors': 0}
  3600/12160  210s  usage={'prompt': 918379, 'completion': 3600, 'calls': 3600, 'cached': 0, 'errors': 0}
  4000/12160  221s  usage={'prompt': 1021728, 'completion': 4000, 'calls': 4000, 'cached': 0, 'errors': 0}
  4400/12160  231s  usage={'prompt': 1123218, 'completion': 4400, 'calls': 4400, 'cached': 0, 'errors': 0}
  4800/12160  244s  usage={'prompt': 1224777, 'completion': 4800, 'calls': 4800, 'cached': 0, 'errors': 0}
  5200/12160  254s  usage={'prompt': 1324505, 'completion': 5200, 'calls': 5200, 'cached': 0, 'errors': 0}
  5600/12160  265s  usage={'prompt': 1422055, 'completion': 5600, 'calls': 5600, 'cached': 0, 'errors': 0}
  6000/12160  278s  usage={'prompt': 1519537, 'completion': 6000, 'calls': 6000, 'cached': 0, 'errors': 0}
  6400/12160  288s  usage={'prompt': 1621520, 'completion': 6400, 'calls': 6400, 'cached': 0, 'errors': 0}
  6800/12160  300s  usage={'prompt': 1722714, 'completion': 6800, 'calls': 6800, 'cached': 0, 'errors': 0}
  7200/12160  312s  usage={'prompt': 1823776, 'completion': 7200, 'calls': 7200, 'cached': 0, 'errors': 0}
  7600/12160  330s  usage={'prompt': 1922198, 'completion': 7600, 'calls': 7600, 'cached': 0, 'errors': 0}
  8000/12160  354s  usage={'prompt': 2017822, 'completion': 8000, 'calls': 8000, 'cached': 0, 'errors': 0}
  8400/12160  374s  usage={'prompt': 2113271, 'completion': 8400, 'calls': 8400, 'cached': 0, 'errors': 0}
  8800/12160  385s  usage={'prompt': 2207435, 'completion': 8800, 'calls': 8800, 'cached': 0, 'errors': 0}
  9200/12160  396s  usage={'prompt': 2299198, 'completion': 9200, 'calls': 9200, 'cached': 0, 'errors': 0}
  9600/12160  408s  usage={'prompt': 2390524, 'completion': 9600, 'calls': 9600, 'cached': 0, 'errors': 0}
  10000/12160  420s  usage={'prompt': 2485726, 'completion': 10000, 'calls': 10000, 'cached': 0, 'errors': 0}
  10400/12160  429s  usage={'prompt': 2580690, 'completion': 10400, 'calls': 10400, 'cached': 0, 'errors': 0}
  10800/12160  439s  usage={'prompt': 2675309, 'completion': 10800, 'calls': 10800, 'cached': 0, 'errors': 0}
  11200/12160  450s  usage={'prompt': 2765997, 'completion': 11200, 'calls': 11200, 'cached': 0, 'errors': 0}
  11600/12160  467s  usage={'prompt': 2852650, 'completion': 11600, 'calls': 11600, 'cached': 0, 'errors': 0}
  12000/12160  482s  usage={'prompt': 2938897, 'completion': 12000, 'calls': 12000, 'cached': 0, 'errors': 0}
DONE 490.84638500213623 s {'prompt': 2973504, 'completion': 12160, 'calls': 12160, 'cached': 0, 'errors': 0}
