pairs=82 jobs=12160
  400/12160  16s  usage={'prompt': 106152, 'completion': 400, 'calls': 400, 'cached': 0, 'errors': 0}
  800/12160  25s  usage={'prompt': 210789, 'completion': 800, 'calls': 800, 'cached': 0, 'errors': 0}
  1200/12160  34s  usage={'prompt': 315464, 'completion': 1200, 'calls': 1200, 'cached': 0, 'errors': 0}
  1600/12160  48s  usage={'prompt': 417406, 'completion': 1600, 'calls': 1600, 'cached': 0, 'errors': 0}
  2000/12160  66s  usage={'prompt': 517518, 'completion': 2000, 'calls': 2000, 'cached': 0, 'errors': 0}
  2400/12160  76s  usage={'prompt': 617873, 'completion': 2400, 'calls': 2400, 'cached': 0, 'errors': 0}
  2800/12160  85s  usage={'prompt': 723236, 'completion': 2800, 'calls': 2800, 'cached': 0, 'errors': 0}
  3200/12160  95s  usage={'prompt': 827438, 'completion': 3200, 'calls': 3200, 'cached': 0, 'errors': 0}
  3600/12160  104s  usage={'prompt': 931802, 'completion': 3600, 'calls': 3600, 'cached': 0, 'errors': 0}
  4000/12160  116s  usage={'prompt': 1036339, 'completion': 4000, 'calls': 4000, 'cached': 0, 'errors': 0}
  4400/12160  131s  usage={'prompt': 1139427, 'completion': 4400, 'calls': 4400, 'cached': 0, 'errors': 0}
  4800/12160  149s  usage={'prompt': 1242573, 'completion': 4800, 'calls': 4800, 'cached': 0, 'errors': 0}
  5200/12160  162s  usage={'prompt': 1343593, 'completion': 5200, 'calls': 5200, 'cached': 0, 'errors': 0}
  5600/12160  171s  usage={'prompt': 1442740, 'completion': 5600, 'calls': 5600, 'cached': 0, 'errors': 0}
  6000/12160  180s  usage={'prompt': 1541855, 'completion': 6000, 'calls': 6000, 'cached': 0, 'errors': 0}
  6400/12160  189s  usage={'prompt': 1645091, 'completion': 6400, 'calls': 6400, 'cached': 0, 'errors': 0}
  6800/12160  199s  usage={'prompt': 1747849, 'completion': 6800, 'calls': 6800, 'cached': 0, 'errors': 0}
  7200/12160  209s  usage={'prompt': 1850526, 'completion': 7200, 'calls': 7200, 'cached': 0, 'errors': 0}
  7600/12160  218s  usage={'prompt': 1951194, 'completion': 7600, 'calls': 7600, 'cached': 0, 'errors': 0}
  8000/12160  231s  usage={'prompt': 2049537, 'completion': 8000, 'calls': 8000, 'cached': 0, 'errors': 0}
  8400/12160  242s  usage={'prompt': 2147760, 'completion': 8400, 'calls': 8400, 'cached': 0, 'errors': 0}
  8800/12160  252s  usage={'prompt': 2244164, 'completion': 8800, 'calls': 8800, 'cached': 0, 'errors': 0}
  9200/12160  261s  usage={'prompt': 2338187, 'completion': 9200, 'calls': 9200, 'cached': 0, 'errors': 0}
  9600/12160  269s  usage={'prompt': 2432011, 'completion': 9600, 'calls': 9600, 'cached': 0, 'errors': 0}
  10000/12160  278s  usage={'prompt': 2529884, 'completion': 10000, 'calls': 10000, 'cached': 0, 'errors': 0}
  10400/12160  287s  usage={'prompt': 2627925, 'completion': 10400, 'calls': 10400, 'cached': 0, 'errors': 0}
  10800/12160  299s  usage={'prompt': 2725861, 'completion': 10800, 'calls': 10800, 'cached': 0, 'errors': 0}
  11200/12160  309s  usage={'prompt': 2818511, 'completion': 11200, 'calls': 11200, 'cached': 0, 'errors': 0}
  11600/12160  321s  usage={'prompt': 2906577, 'completion': 11600, 'calls': 11600, 'cached': 0, 'errors': 0}
  12000/12160  331s  usage={'prompt': 2994608, 'completion': 12000, 'calls': 12000, 'cached': 0, 'errors': 0}
DONE 334.8117821216583 s {'prompt': 3029728, 'completion': 12160, 'calls': 12160, 'cached': 0, 'errors': 0}
