cell,ch1,ch2,spearman,mean_absdiff,n
B0/-,revealed,stated_self,0.6268044951491207,0.21875,76
B0/-,revealed,stated_pred,0.719670053156584,0.19407894736842105,76
B0/-,stated_pred,stated_self,0.7061635011061844,0.13651315789473684,76
B1/Lazlo,revealed,stated_self,0.7839750989943812,0.1825657894736842,76
B1/Lazlo,revealed,stated_pred,0.8141730768309164,0.14473684210526316,76
B1/Lazlo,stated_pred,stated_self,0.8921832878632919,0.1069078947368421,76
B1/Mira,revealed,stated_self,0.955300020353885,0.05451127819548871,76
B1/Mira,revealed,stated_pred,0.9606019274959865,0.046992481203007516,76
B1/Mira,stated_pred,stated_self,0.9669152689868716,0.03524436090225564,76
B1/Vex,revealed,stated_self,0.859571795235803,0.09539473684210527,76
B1/Vex,revealed,stated_pred,0.8807212981871896,0.0756578947368421,76
B1/Vex,stated_pred,stated_self,0.9193240561632124,0.06907894736842106,76
B2/Lazlo,revealed,stated_self,0.708326676026278,0.13063909774436092,76
B2/Lazlo,revealed,stated_pred,0.6146067811587542,0.19760338345864661,76
B2/Lazlo,stated_pred,stated_self,0.7109142179340087,0.17645676691729323,76
B2/Mira,revealed,stated_self,0.7139488027490855,0.19525375939849626,76
B2/Mira,revealed,stated_pred,0.8811627173949641,0.11560150375939848,76
B2/Mira,stated_pred,stated_self,0.7216173583247535,0.17598684210526316,76
B2/Vex,revealed,stated_self,0.794060162225308,0.1492011278195489,76
B2/Vex,revealed,stated_pred,0.7961752681723673,0.13110902255639098,76
B2/Vex,stated_pred,stated_self,0.8417812086410491,0.12006578947368421,76
B3/Lazlo,revealed,stated_self,0.80215982045578,0.1611842105263158,76
B3/Lazlo,revealed,stated_pred,0.801418016781017,0.14309210526315788,76
B3/Lazlo,stated_pred,stated_self,0.9649449043917633,0.06743421052631579,76
B3/Mira,revealed,stated_self,0.8089016365563494,0.12664473684210525,76
B3/Mira,revealed,stated_pred,0.9007610203260856,0.05756578947368421,76
B3/Mira,stated_pred,stated_self,0.7765948267556153,0.14473684210526316,76
B3/Vex,revealed,stated_self,0.8768118473957478,0.07401315789473684,76
B3/Vex,revealed,stated_pred,0.8815669096575538,0.07236842105263158,76
B3/Vex,stated_pred,stated_self,0.9217142168081133,0.044407894736842105,76
B4/-,revealed,stated_self,0.39715454729477956,0.30357142857142855,76
B4/-,revealed,stated_pred,0.6488797241320903,0.21264097744360902,76
B4/-,stated_pred,stated_self,0.691311111205183,0.17880639097744364,76
