cell,stated_ch,D,D_lo,D_hi,corr_disp
B1/Lazlo,stated_self,0.3190789473684211,0.25164473684210525,0.38980263157894735,0.723851995571849
B1/Lazlo,stated_pred,0.2532894736842105,0.19407894736842105,0.31912006578947366,0.8068012922452927
B1/Mira,stated_self,0.24036654135338345,0.17713815789473683,0.30782424812030074,0.7066404069514295
B1/Mira,stated_pred,0.2260338345864662,0.16846804511278196,0.28737077067669176,0.6981206611343286
B1/Vex,stated_self,0.20230263157894737,0.13651315789473684,0.27631578947368424,0.8887739373232416
B1/Vex,stated_pred,0.21052631578947367,0.15625,0.2631990131578947,0.8885617122097047
B2/Lazlo,stated_self,0.27702067669172936,0.2095688439849624,0.3493949718045113,0.5270482601552451
B2/Lazlo,stated_pred,0.34234022556390975,0.2762981672932331,0.4114367951127819,0.6342613211913233
B2/Mira,stated_self,0.23966165413533835,0.17434210526315788,0.3038063909774436,0.4932733622105574
B2/Mira,stated_pred,0.19031954887218047,0.13320018796992483,0.2528312969924812,0.6002672973877287
B2/Vex,stated_self,0.24389097744360902,0.18092105263157895,0.3157894736842105,0.8241976220558399
B2/Vex,stated_pred,0.24060150375939848,0.179734492481203,0.2965225563909774,0.8502689321937256
B3/Lazlo,stated_self,0.31414473684210525,0.24671052631578946,0.37993421052631576,0.7295300529639746
B3/Lazlo,stated_pred,0.28125,0.22203947368421054,0.3405016447368421,0.778600414933497
B3/Mira,stated_self,0.2598684210526316,0.1875,0.33223684210526316,0.5780578390308712
B3/Mira,stated_pred,0.21546052631578946,0.15953947368421054,0.2713815789473684,0.698429522836432
B3/Vex,stated_self,0.20394736842105263,0.14469572368421055,0.2582236842105263,0.8937365913512805
B3/Vex,stated_pred,0.19078947368421054,0.14469572368421055,0.23852796052631575,0.9016249943003181
B4/-,stated_self,0.3019266917293233,0.237781954887218,0.3710232612781954,0.43446190809280033
B4/-,stated_pred,0.268562030075188,0.21167175751879702,0.32848331766917294,0.44649828422512894
