cell,ch1,ch2,spearman,mean_absdiff,n
B0/-,revealed,stated_self,0.7606331260889877,0.18585526315789475,76
B0/-,revealed,stated_pred,0.7666776039130395,0.19901315789473684,76
B0/-,stated_pred,stated_self,0.7659249003304356,0.18092105263157895,76
B1/Lazlo,revealed,stated_self,0.7144373980827345,0.18585526315789475,76
B1/Lazlo,revealed,stated_pred,0.72672600823568,0.1825657894736842,76
B1/Lazlo,stated_pred,stated_self,0.9692138148457327,0.04276315789473684,76
B1/Mira,revealed,stated_self,0.940020631119449,0.06907894736842106,76
B1/Mira,revealed,stated_pred,0.9645341646174169,0.054276315789473686,76
B1/Mira,stated_pred,stated_self,0.9668891036298167,0.03125,76
B1/Vex,revealed,stated_self,0.8630602695738429,0.10032894736842106,76
B1/Vex,revealed,stated_pred,0.8843685270921375,0.09046052631578948,76
B1/Vex,stated_pred,stated_self,0.9228298226895265,0.07894736842105263,76
B2/Lazlo,revealed,stated_self,0.7754005743619526,0.18585526315789475,76
B2/Lazlo,revealed,stated_pred,0.7755651189405091,0.17434210526315788,76
B2/Lazlo,stated_pred,stated_self,0.8536539309667963,0.11348684210526316,76
B2/Mira,revealed,stated_self,0.8785736318544957,0.08881578947368421,76
B2/Mira,revealed,stated_pred,0.8748899607802828,0.07730263157894737,76
B2/Mira,stated_pred,stated_self,0.9028031333478368,0.08717105263157894,76
B2/Vex,revealed,stated_self,0.6829335807814362,0.20723684210526316,76
B2/Vex,revealed,stated_pred,0.5889190218992674,0.28618421052631576,76
B2/Vex,stated_pred,stated_self,0.7931774250573078,0.16776315789473684,76
B3/Lazlo,revealed,stated_self,0.774684235287889,0.16611842105263158,76
B3/Lazlo,revealed,stated_pred,0.7262031398758777,0.15953947368421054,76
B3/Lazlo,stated_pred,stated_self,0.7916265052909554,0.11842105263157894,76
B3/Mira,revealed,stated_self,0.8554178881983958,0.10855263157894737,76
B3/Mira,revealed,stated_pred,0.8175473273300723,0.125,76
B3/Mira,stated_pred,stated_self,0.9409183924256455,0.039473684210526314,76
B3/Vex,revealed,stated_self,0.7256795646967674,0.1924342105263158,76
B3/Vex,revealed,stated_pred,0.7772913919320542,0.15953947368421054,76
B3/Vex,stated_pred,stated_self,0.8865110021688393,0.10855263157894737,76
B4/-,revealed,stated_self,0.6484188633818303,0.20065789473684212,76
B4/-,revealed,stated_pred,0.7192807362543708,0.1875,76
B4/-,stated_pred,stated_self,0.6493007137416126,0.22039473684210525,76
