cell,stated_ch,D,D_lo,D_hi,corr_disp
B1/Lazlo,stated_self,0.2598684210526316,0.19074835526315792,0.32898848684210524,0.7108505461851538
B1/Lazlo,stated_pred,0.33881578947368424,0.2680921052631579,0.4128289473684211,0.6068652295340846
B1/Mira,stated_self,0.1924342105263158,0.13157894736842105,0.25164473684210525,0.608481173814164
B1/Mira,stated_pred,0.21052631578947367,0.14967105263157895,0.26973684210526316,0.584208956396362
B1/Vex,stated_self,0.19078947368421054,0.12828947368421054,0.26151315789473684,0.9176718473073924
B1/Vex,stated_pred,0.19736842105263158,0.14144736842105263,0.2565789473684211,0.8999626287516378
B2/Lazlo,stated_self,0.18421052631578946,0.13157894736842105,0.23848684210526316,0.32934958770967154
B2/Lazlo,stated_pred,0.19572368421052633,0.13651315789473684,0.25493421052631576,0.4571285426458962
B2/Mira,stated_self,0.1924342105263158,0.13647203947368422,0.2582236842105263,0.445645172724822
B2/Mira,stated_pred,0.18421052631578946,0.13157894736842105,0.24177631578947367,0.5550089379668975
B2/Vex,stated_self,0.22532894736842105,0.17101151315789476,0.28618421052631576,0.7458290332384376
B2/Vex,stated_pred,0.2845394736842105,0.22697368421052633,0.3404605263157895,0.797818916993361
B3/Lazlo,stated_self,0.20394736842105263,0.15456414473684213,0.2565789473684211,0.6086756162426952
B3/Lazlo,stated_pred,0.2730263157894737,0.21541940789473685,0.3305921052631579,0.49211413610159044
B3/Mira,stated_self,0.16940789473684212,0.1118421052631579,0.23355263157894737,0.5505282331972281
B3/Mira,stated_pred,0.15953947368421054,0.1118421052631579,0.20888157894736842,0.5726819460080741
B3/Vex,stated_self,0.23355263157894737,0.17923519736842106,0.2944078947368421,0.8775582897587558
B3/Vex,stated_pred,0.20394736842105263,0.14967105263157895,0.2582236842105263,0.9099369175763289
B4/-,stated_self,0.1299342105263158,0.08384046052631579,0.17763157894736842,-0.045910291240487476
B4/-,stated_pred,0.12006578947368421,0.0756578947368421,0.16940789473684212,0.07507944413668377
