pair_id,subset,s_persona,s_binding,s_context,noise,b0_p,total,level
ana01__int03,core,0.32995975378787884,0.07804214015151513,0.03737571022727273,0.0033735795454545455,0.0,0.44537760416666666,persona_level
ana01__slf04,core,0.197265625,0.12421874999999999,0.0134765625,0.005859375,1.0,0.3349609375,persona_level
ana02__hlp02,core,0.06096117424242424,0.013210227272727275,0.024502840909090908,0.022372159090909092,0.75,0.09867424242424243,persona_level
ana04__hlp05,core,0.33120265151515155,0.08678977272727273,0.030965909090909093,0.002130681818181818,1.0,0.44895833333333335,persona_level
ana08__rep04,core,0.03166429924242424,0.010345643939393937,0.03354048295454545,0.004794034090909091,1.0,0.07555042613636363,mixed
avn01__hlp02,welfare,0.33333333333333337,0.0666666666666667,0.0,0.0,0.0,0.4000000000000001,persona_level
avn01__pls05,welfare,0.3306699810606061,0.0709872159090909,0.0,0.0026633522727272725,0.0,0.401657196969697,persona_level
avn02__hlp01,welfare,0.28941761363636365,0.12523674242424243,0.0012606534090909088,0.007457386363636364,0.0,0.415915009469697,persona_level
avn02__pls03,welfare,0.33333333333333337,0.10000000000000002,0.0007812500000000003,0.0,0.0,0.4341145833333334,persona_level
avn03__hlp05,welfare,0.32356770833333337,0.06015625,0.0419921875,0.009765625,1.0,0.4257161458333334,persona_level
avn03__pls02,welfare,0.321969696969697,0.06363636363636364,0.0,0.011363636363636364,0.5,0.3856060606060607,persona_level
avn04__hlp06,welfare,0.33049242424242425,0.06571969696969697,0.01178977272727273,0.002840909090909091,0.0,0.40800189393939396,persona_level
avn04__pls01,welfare,0.3306699810606061,0.0834872159090909,0.035662286931818186,0.0026633522727272725,0.0,0.44981948390151516,persona_level
avn05__hlp04,welfare,0.010002367424242426,0.11208570075757578,0.016068892045454544,0.01083096590909091,0.375,0.13815696022727275,binding_level
avn05__pls06,welfare,0.2862215909090909,0.09142992424242426,0.041548295454545456,0.01065340909090909,0.125,0.4191998106060606,persona_level
avn06__hlp03,welfare,0.33333333333333337,0.10000000000000002,0.0,0.0,0.0,0.4333333333333334,persona_level
avn06__pls04,welfare,0.33333333333333337,0.10000000000000002,0.0,0.0,0.0,0.4333333333333334,persona_level
avn07__hlp08,welfare,0.24449573863636365,0.0848721590909091,0.011123934659090912,0.005504261363636364,0.0,0.34049183238636366,persona_level
avn07__pls05,welfare,0.24591619318181818,0.10665246212121214,0.016557173295454544,0.004083806818181818,0.0,0.36912582859848486,persona_level
avn08__hlp07,welfare,0.06682054924242424,0.03452888257575758,0.05714666193181819,0.016512784090909092,0.625,0.15849609375,mixed
avn08__pls03,welfare,0.32552083333333337,0.06666666666666667,0.0,0.0078125,0.125,0.3921875,persona_level
cre01__int06,core,0.2411221590909091,0.07601799242424244,0.03892045454545454,0.00887784090909091,0.375,0.3560606060606061,persona_level
cre01__rep02,core,0.12541429924242423,0.023401988636363637,0.011301491477272729,0.004794034090909091,1.0,0.16011777935606059,persona_level
cre02__hlp08,core,0.06717566287878787,0.04131155303030303,0.011585582386363636,0.016157670454545456,1.0,0.12007279829545454,persona_level
cre03__ana02,core,0.2430752840909091,0.09828361742424242,0.05435014204545456,0.006924715909090909,1.0,0.3957090435606061,persona_level
cre05__ana06,core,0.33333333333333337,0.10000000000000002,0.0,0.0,1.0,0.4333333333333334,persona_level
cre06__hlp05,core,0.24094460227272727,0.08458806818181817,0.025159801136363638,0.009055397727272728,1.0,0.35069247159090905,persona_level
cre06__hlp07,core,0.07090435606060605,0.01827651515151515,0.05474076704545456,0.012428977272727272,1.0,0.14392163825757576,mixed
cre07__int05,core,0.33333333333333337,0.10000000000000002,0.007031249999999999,0.0,1.0,0.4403645833333334,persona_level
cre08__ana03,core,0.3283617424242425,0.14502840909090908,0.034694602272727276,0.004971590909090909,0.25,0.5080847537878789,persona_level
emo02__cre04,core,0.23295454545454547,0.04962121212121213,0.019602272727272732,0.017045454545454544,0.5,0.3021780303030303,persona_level
emo02__hlp07,core,0.2619554924242425,0.0768939393939394,0.005593039772727272,0.00887784090909091,1.0,0.3444424715909092,persona_level
emo03__ana08,core,0.2860440340909091,0.06364820075757575,0.009011008522727272,0.01083096590909091,0.5,0.3587032433712122,persona_level
emo05__slf02,core,0.17524857954545456,0.1559777462121212,0.05559303977272728,0.012251420454545454,1.0,0.38681936553030305,mixed
emo06__cre08,core,0.33120265151515155,0.16107954545454548,0.0,0.002130681818181818,1.0,0.492282196969697,persona_level
gry01__emo06,differential,0.2660392992424242,0.08534564393939394,0.002707741477272727,0.004794034090909091,0.0,0.35409268465909083,persona_level
gry01__hlp04,differential,0.2471590909090909,0.11477272727272729,0.002024147727272727,0.002840909090909091,0.0,0.3639559659090909,persona_level
gry02__emo01,differential,0.2956321022727273,0.1002130681818182,0.006329900568181818,0.0012428977272727273,0.0,0.4021750710227273,persona_level
gry02__hlp05,differential,0.33049242424242425,0.13143939393939397,0.0,0.002840909090909091,0.0,0.4619318181818182,persona_level
