cell,stated_ch,D,D_lo,D_hi,corr_disp
B1/Lazlo,stated_self,0.23942669172932332,0.19900728383458646,0.2819666353383459,0.6566355279707791
B1/Lazlo,stated_pred,0.193796992481203,0.156203007518797,0.23238839285714288,0.8038496088948099
B1/Mira,stated_self,0.22551691729323306,0.1855137844611529,0.2655556860902255,0.6820100474070614
B1/Mira,stated_pred,0.21906328320802007,0.17520167606516293,0.2644627192982456,0.7071124244407295
B1/Vex,stated_self,0.256109022556391,0.21264097744360902,0.3027431860902255,0.8521043646544089
B1/Vex,stated_pred,0.22855576441102754,0.18845394736842103,0.2699514411027569,0.8657033090918628
B2/Lazlo,stated_self,0.2200031328320802,0.17589285714285716,0.26497689536340857,0.30783444587174386
B2/Lazlo,stated_pred,0.2598214285714286,0.21567590852130325,0.30550281954887215,0.2113993485463172
B2/Mira,stated_self,0.24813596491228065,0.2075246710526316,0.29237351190476185,0.16848141571216976
B2/Mira,stated_pred,0.262437343358396,0.213796992481203,0.31436599310776936,0.013898709846424988
B2/Vex,stated_self,0.21846804511278198,0.1790718984962406,0.2563831453634085,0.41513223981532077
B2/Vex,stated_pred,0.2760651629072681,0.22691885964912278,0.3266036184210526,0.3173824104412128
B3/Lazlo,stated_self,0.26480263157894735,0.2156954887218045,0.30969807330827065,0.21664105776329426
B3/Lazlo,stated_pred,0.26583646616541357,0.220827850877193,0.31392817982456134,0.24214270483585015
B3/Mira,stated_self,0.32243107769423557,0.2684519893483709,0.37343632518796993,0.002654471727529066
B3/Mira,stated_pred,0.2663377192982456,0.22305960213032583,0.3182229010025063,0.3604478625035247
B3/Vex,stated_self,0.3271303258145363,0.2726022086466165,0.38938713972431077,0.42233070630758335
B3/Vex,stated_pred,0.30715852130325816,0.2550669642857143,0.36962014411027555,0.37863910512484156
B4/-,stated_self,0.22586152882205515,0.18840499686716794,0.26618538533834585,0.06713436079637991
B4/-,stated_pred,0.22299498746867172,0.17776472431077697,0.27152843045112784,0.14884825734247442
