pair_id,subset,s_persona,s_binding,s_context,noise,b0_p,total,level
ana01__int03,core,0.16693446859263186,0.057931492402155664,0.023060460656123917,0.020565531407368144,0.5714285714285714,0.24792642165091144,persona_level
ana01__slf04,core,0.21680463987543072,0.10734979267079607,0.0029714145984873026,0.014676841606050789,1.0,0.3271258471447141,persona_level
ana02__hlp02,core,0.31507345227051864,0.077626598529022,0.005981904734296317,0.018259881062814735,0.875,0.39868195553383695,persona_level
ana04__hlp05,core,0.17188949443413729,0.012781192022263452,0.03332098729643372,0.025495709647495365,0.625,0.21799167375283446,persona_level
ana08__rep04,core,0.1997472216700533,0.02269737635915357,0.004792592316508134,0.01610925981142818,0.75,0.227237190345715,persona_level
avn01__hlp02,welfare,0.291015625,0.05638020833333334,0.0,0.005859375,0.125,0.34739583333333335,persona_level
avn01__pls05,welfare,0.33049242424242425,0.06571969696969697,0.0,0.002840909090909091,0.0,0.39621212121212124,persona_level
avn02__hlp01,welfare,0.32287301081146746,0.11025646865889212,0.0005099193695335285,0.010460322521865888,0.0,0.4336393988398931,persona_level
avn02__pls03,welfare,0.33333333333333337,0.0666666666666667,0.0234375,0.0,0.0,0.4234375000000001,persona_level
avn03__hlp05,welfare,0.1855624047508614,0.05450373128147363,0.04311791325702359,0.017562595249138616,0.75,0.2831840492893586,persona_level
avn03__pls02,welfare,0.33068292251965725,0.07598727802809435,0.011956044593161942,0.00265041081367612,0.0,0.41862624514091357,persona_level
avn04__hlp06,welfare,0.24065730188179169,0.051594663839561794,0.008944825901139679,0.004240657301881792,0.0,0.30119679162249313,persona_level
avn04__pls01,welfare,0.24456150042087546,0.05812201879910214,0.004369541771885522,0.010646832912457911,0.0,0.30705306099186314,persona_level
avn05__hlp04,welfare,0.0,0.012037036730276526,0.001996527547707394,0.024913194904585212,0.5,0.014033564277983919,model_level
avn05__pls06,welfare,0.08224763119533528,0.002025631681243928,0.0022025327988338186,0.027127368804664723,0.5,0.08647579567541303,persona_level
avn06__hlp03,welfare,0.3273093429742027,0.06377737377418499,0.0016190024102173334,0.006023990359130665,0.0,0.392705719158605,persona_level
avn06__pls04,welfare,0.24278593223905723,0.04880445075757576,0.01373007417929293,0.012422401094276093,0.375,0.30532045717592593,persona_level
avn07__hlp08,welfare,0.1386820812289562,0.06316587752525253,0.021132734391104923,0.021526252104377107,0.625,0.22298069314531366,persona_level
avn07__pls05,welfare,0.32233257548149136,0.055463953032511705,0.005062310537039491,0.011000757851842036,0.375,0.38285883905104257,persona_level
avn08__hlp07,welfare,0.24333307795520803,0.029897703805548195,0.019912712446991783,0.021973044493771535,0.5,0.293143494207748,persona_level
avn08__pls03,welfare,0.31841856060606066,0.07779356060606062,0.005255681818181819,0.014914772727272728,0.5,0.4014678030303031,persona_level
cre01__int06,core,0.1975107031809838,0.035689202725342185,0.008213366046274206,0.016881303621737297,0.7142857142857143,0.24141327195260018,persona_level
cre01__rep02,core,0.019334942445592966,0.0,0.018412983316522854,0.017702094591444083,0.875,0.037747925762115817,model_level
cre02__hlp08,core,0.11092992424242423,0.04003409090909091,0.03813662453617811,0.01927840909090909,0.5,0.18910063968769325,persona_level
cre03__ana02,core,0.31772127479238454,0.0506932135678947,0.0,0.015612058540948846,0.375,0.36841448836027924,persona_level
cre05__ana06,core,0.27283206334481847,0.0638452436169273,0.011294681048826461,0.01968494345790264,0.875,0.3479719880105722,persona_level
cre06__hlp05,core,0.27098212491165297,0.047943434435462506,0.028286657459249933,0.021534881891068117,0.875,0.3472122168063654,persona_level
