pairs=82 jobs=28506
  400/28506  9s  usage={'prompt': 34544, 'completion': 400, 'calls': 400, 'cached': 0, 'errors': 0}
  800/28506  26s  usage={'prompt': 69260, 'completion': 800, 'calls': 800, 'cached': 0, 'errors': 0}
  1200/28506  170s  usage={'prompt': 99550, 'completion': 1187, 'calls': 1187, 'cached': 0, 'errors': 13}
  1600/28506  189s  usage={'prompt': 132882, 'completion': 1587, 'calls': 1587, 'cached': 0, 'errors': 13}
  2000/28506  204s  usage={'prompt': 166409, 'completion': 1987, 'calls': 1987, 'cached': 0, 'errors': 13}
  2400/28506  215s  usage={'prompt': 212039, 'completion': 2387, 'calls': 2387, 'cached': 0, 'errors': 13}
  2800/28506  228s  usage={'prompt': 262251, 'completion': 2787, 'calls': 2787, 'cached': 0, 'errors': 13}
  3200/28506  241s  usage={'prompt': 308905, 'completion': 3187, 'calls': 3187, 'cached': 0, 'errors': 13}
  3600/28506  254s  usage={'prompt': 356577, 'completion': 3587, 'calls': 3587, 'cached': 0, 'errors': 13}
  4000/28506  271s  usage={'prompt': 404434, 'completion': 3987, 'calls': 3987, 'cached': 0, 'errors': 13}
  4400/28506  285s  usage={'prompt': 474942, 'completion': 4392, 'calls': 4387, 'cached': 0, 'errors': 13}
  4800/28506  295s  usage={'prompt': 566242, 'completion': 4792, 'calls': 4787, 'cached': 0, 'errors': 13}
  5200/28506  304s  usage={'prompt': 654305, 'completion': 5192, 'calls': 5187, 'cached': 0, 'errors': 13}
  5600/28506  313s  usage={'prompt': 742413, 'completion': 5592, 'calls': 5587, 'cached': 0, 'errors': 13}
  6000/28506  327s  usage={'prompt': 830937, 'completion': 5992, 'calls': 5987, 'cached': 0, 'errors': 13}
  6400/28506  339s  usage={'prompt': 915355, 'completion': 6392, 'calls': 6387, 'cached': 0, 'errors': 13}
  6800/28506  351s  usage={'prompt': 1000814, 'completion': 6809, 'calls': 6787, 'cached': 0, 'errors': 13}
  7200/28506  363s  usage={'prompt': 1088536, 'completion': 7214, 'calls': 7187, 'cached': 0, 'errors': 13}
  7600/28506  374s  usage={'prompt': 1176689, 'completion': 7614, 'calls': 7587, 'cached': 0, 'errors': 13}
  8000/28506  383s  usage={'prompt': 1261347, 'completion': 8014, 'calls': 7987, 'cached': 0, 'errors': 13}
  8400/28506  391s  usage={'prompt': 1346993, 'completion': 8414, 'calls': 8387, 'cached': 0, 'errors': 13}
  8800/28506  399s  usage={'prompt': 1432273, 'completion': 8814, 'calls': 8787, 'cached': 0, 'errors': 13}
  9200/28506  408s  usage={'prompt': 1513005, 'completion': 9214, 'calls': 9187, 'cached': 0, 'errors': 13}
  9600/28506  418s  usage={'prompt': 1597338, 'completion': 9614, 'calls': 9587, 'cached': 0, 'errors': 13}
  10000/28506  426s  usage={'prompt': 1681878, 'completion': 10014, 'calls': 9987, 'cached': 0, 'errors': 13}
  10400/28506  436s  usage={'prompt': 1766533, 'completion': 10414, 'calls': 10387, 'cached': 0, 'errors': 13}
  10800/28506  444s  usage={'prompt': 1847852, 'completion': 10814, 'calls': 10787, 'cached': 0, 'errors': 13}
  11200/28506  457s  usage={'prompt': 1931207, 'completion': 11214, 'calls': 11187, 'cached': 0, 'errors': 13}
  11600/28506  469s  usage={'prompt': 2012800, 'completion': 11614, 'calls': 11587, 'cached': 0, 'errors': 13}
  12000/28506  482s  usage={'prompt': 2090172, 'completion': 12014, 'calls': 11987, 'cached': 0, 'errors': 13}
  12400/28506  490s  usage={'prompt': 2176424, 'completion': 12458, 'calls': 12387, 'cached': 0, 'errors': 13}
  12800/28506  498s  usage={'prompt': 2277756, 'completion': 12858, 'calls': 12787, 'cached': 0, 'errors': 13}
  13200/28506  507s  usage={'prompt': 2376514, 'completion': 13258, 'calls': 13187, 'cached': 0, 'errors': 13}
  13600/28506  515s  usage={'prompt': 2473336, 'completion': 13658, 'calls': 13587, 'cached': 0, 'errors': 13}
  14000/28506  524s  usage={'prompt': 2572031, 'completion': 14058, 'calls': 13987, 'cached': 0, 'errors': 13}
  14400/28506  532s  usage={'prompt': 2667465, 'completion': 14458, 'calls': 14387, 'cached': 0, 'errors': 13}
  14800/28506  541s  usage={'prompt': 2760481, 'completion': 14861, 'calls': 14787, 'cached': 0, 'errors': 13}
  15200/28506  550s  usage={'prompt': 2858895, 'completion': 15292, 'calls': 15187, 'cached': 0, 'errors': 13}
  15600/28506  558s  usage={'prompt': 2958188, 'completion': 15692, 'calls': 15587, 'cached': 0, 'errors': 13}
  16000/28506  571s  usage={'prompt': 3054360, 'completion': 16092, 'calls': 15987, 'cached': 0, 'errors': 13}
  16400/28506  586s  usage={'prompt': 3150418, 'completion': 16492, 'calls': 16387, 'cached': 0, 'errors': 13}
  16800/28506  597s  usage={'prompt': 3246970, 'completion': 16892, 'calls': 16787, 'cached': 0, 'errors': 13}
  17200/28506  607s  usage={'prompt': 3339503, 'completion': 17292, 'calls': 17187, 'cached': 0, 'errors': 13}
  17600/28506  615s  usage={'prompt': 3432783, 'completion': 17692, 'calls': 17587, 'cached': 0, 'errors': 13}
  18000/28506  629s  usage={'prompt': 3527082, 'completion': 18092, 'calls': 17987, 'cached': 0, 'errors': 13}
  18400/28506  644s  usage={'prompt': 3621274, 'completion': 18492, 'calls': 18387, 'cached': 0, 'errors': 13}
  18800/28506  658s  usage={'prompt': 3711935, 'completion': 18892, 'calls': 18787, 'cached': 0, 'errors': 13}
  19200/28506  667s  usage={'prompt': 3803587, 'completion': 19292, 'calls': 19187, 'cached': 0, 'errors': 13}
  19600/28506  676s  usage={'prompt': 3894910, 'completion': 19692, 'calls': 19587, 'cached': 0, 'errors': 13}
  20000/28506  688s  usage={'prompt': 3981661, 'completion': 20092, 'calls': 19987, 'cached': 0, 'errors': 13}
  20400/28506  704s  usage={'prompt': 4071994, 'completion': 20499, 'calls': 20387, 'cached': 0, 'errors': 13}
  20800/28506  715s  usage={'prompt': 4175641, 'completion': 20899, 'calls': 20787, 'cached': 0, 'errors': 13}
  21200/28506  726s  usage={'prompt': 4279561, 'completion': 21299, 'calls': 21187, 'cached': 0, 'errors': 13}
  21600/28506  735s  usage={'prompt': 4380076, 'completion': 21699, 'calls': 21587, 'cached': 0, 'errors': 13}
  22000/28506  744s  usage={'prompt': 4482616, 'completion': 22099, 'calls': 21987, 'cached': 0, 'errors': 13}
  22400/28506  753s  usage={'prompt': 4583504, 'completion': 22499, 'calls': 22387, 'cached': 0, 'errors': 13}
  22800/28506  762s  usage={'prompt': 4680148, 'completion': 22899, 'calls': 22787, 'cached': 0, 'errors': 13}
  23200/28506  772s  usage={'prompt': 4780957, 'completion': 23305, 'calls': 23187, 'cached': 0, 'errors': 13}
  23600/28506  782s  usage={'prompt': 4884741, 'completion': 23705, 'calls': 23587, 'cached': 0, 'errors': 13}
  24000/28506  791s  usage={'prompt': 4985954, 'completion': 24105, 'calls': 23987, 'cached': 0, 'errors': 13}
