quantity,point,lo95,hi95
Gemma C1 fiction-leak Vex,0.844039971448965,0.749800957126391,0.9265267746200396
Gemma C1 fiction-leak Lazlo,0.6746031746031746,0.5319544419835117,0.809779593412249
Gemma C1 fiction-leak Mira,0.8256166620713059,0.6654247033857676,0.9581609311462568
Gemma B2 negation-leak Vex,0.8048332823493423,0.7047867790255355,0.8946560543445766
Gemma B2 negation-leak Lazlo,0.5924846128927763,0.4076976359218446,0.7637521861427311
Gemma B2 negation-leak Mira,0.7441091009353327,0.6052891333802262,0.8709228211168848
Gemma C3 anti-instruction Vex,0.7740899357601713,0.6771226204044971,0.8608783728764114
Gemma C3 anti-instruction Lazlo,0.5804988662131519,0.3944288972567394,0.7555153066128409
Gemma C3 anti-instruction Mira,0.1946382744066682,-0.0057316179905678,0.4000181048545574
gemma B2 wedge (rev−st) Mira,0.4625557028770802,0.2875322338842628,0.6363032156047131
gpt41mini B2 wedge (rev−st) Mira,0.1020457529891492,-0.0907793594803578,0.2763893825872689
llama70b B2 wedge (rev−st) Mira,-0.1263078058899894,-0.3020036131610157,0.0569644715229035
qwen72b B2 wedge (rev−st) Mira,-0.2981087759060647,-0.5584041328921029,-0.0619015085876085
Gemma identity-cloud mean distance,0.1931092612483589,0.1537267648287385,0.2311328917531925
Gemma hyst Lazlo x2 [n=23 pairs],0.8393574297188755,0.6019402985074628,1.0
Gemma hyst Lazlo x2 MINUS ctrl [n=23 pairs],0.4819277108433735,0.06611570247933884,0.8181818181818182
Gemma hyst Lazlo x8 [n=23 pairs],0.7951807228915663,0.46662162162162163,1.0
Gemma hyst Lazlo x8 MINUS ctrl [n=23 pairs],0.4497991967871486,0.0,0.8182678132678128
Gemma hyst Lazlo r_inst [n=23 pairs],0.7469879518072289,0.3998765432098766,0.9807841614906831
Gemma hyst Lazlo r_inst MINUS ctrl [n=23 pairs],0.2771084337349397,-0.13879040667361833,0.4791666666666667
Gemma hyst Lazlo r_sys [n=23 pairs],0.825588066551922,0.5363338840874429,1.0
Gemma hyst Lazlo r_sys MINUS ctrl [n=23 pairs],0.46815834767641995,0.05408392776813827,0.8333333333333334
Gemma hyst Vex x2 [n=23 pairs],0.41318327974276525,0.1584028139656071,0.7066604436406367
Gemma hyst Vex x2 MINUS ctrl [n=23 pairs],0.33440514469453375,0.061145589654300676,0.6111238532110091
Gemma hyst Vex x8 [n=23 pairs],0.2845659163987138,0.08668228600117145,0.5208698248407642
Gemma hyst Vex x8 MINUS ctrl [n=23 pairs],0.21061093247588425,0.006500827542042293,0.4120097286226313
Gemma hyst Vex r_inst [n=23 pairs],0.3102893890675241,0.12019532554257095,0.563599165463806
Gemma hyst Vex r_inst MINUS ctrl [n=23 pairs],0.1607717041800643,0.009223848146162826,0.30442570784846584
Gemma hyst Vex r_sys [n=23 pairs],0.4517684887459807,0.2023297758168376,0.7160132849820423
Gemma hyst Vex r_sys MINUS ctrl [n=23 pairs],0.3729903536977492,0.12402620779033767,0.6287094125718397
Gemma hyst Mira x2 [n=23 pairs],0.6176470588235294,0.3274336283185841,0.8484848484848485
Gemma hyst Mira x2 MINUS ctrl [n=23 pairs],0.14117647058823535,-0.1643835616438356,0.494974226804123
Gemma hyst Mira x8 [n=23 pairs],0.5470588235294118,0.38461538461538464,0.8001438848920855
Gemma hyst Mira x8 MINUS ctrl [n=23 pairs],0.15882352941176475,0.0,0.5957902892561943
Gemma hyst Mira r_inst [n=23 pairs],0.5705882352941176,0.4461538461538462,0.8750297619047618
Gemma hyst Mira r_inst MINUS ctrl [n=23 pairs],0.1764705882352941,0.0,0.625
Gemma hyst Mira r_sys [n=23 pairs],0.8058823529411765,0.5087719298245614,1.0
Gemma hyst Mira r_sys MINUS ctrl [n=23 pairs],0.37647058823529417,0.0,1.0
Gemma hyst Neutral x2 (ctrl on Lazlo dir) [n=23 pairs],0.357429718875502,0.09430071970433769,0.6213942307692302
Gemma hyst Neutral x8 (ctrl on Lazlo dir) [n=23 pairs],0.3453815261044177,0.06741573033707865,0.590482968988307
Gemma hyst Neutral r_inst (ctrl on Lazlo dir) [n=23 pairs],0.46987951807228917,0.3080801774418796,0.7024793388429752
Gemma hyst Neutral r_sys (ctrl on Lazlo dir) [n=23 pairs],0.357429718875502,0.0743801652892562,0.6213942307692302
gemma27b C1fiction Vex,0.844039971448965,0.7515152874124114,0.9275191937669253
gemma27b B2 Vex,0.8048332823493423,0.6990892602096839,0.8920116338588443
gemma27b C1fiction Lazlo,0.6746031746031746,0.5298233739324981,0.8061771420860515
gemma27b B2 Lazlo,0.5924846128927763,0.40731465800605954,0.7707081211316019
gemma27b C1fiction Mira,0.8256166620713059,0.6707046168913242,0.9583362227973348
gemma27b B2 Mira,0.7441091009353327,0.6091914974284137,0.8672989865667055
gpt41mini C1fiction Vex,0.5167464114832536,0.4136378602508641,0.6209923731622294
gpt41mini B2 Vex,0.3735737946264262,0.2640273740767305,0.482969379958382
gpt41mini C1fiction Lazlo,0.8292887029288702,0.6935335470302908,0.9491470806121858
gpt41mini B2 Lazlo,0.20251046025104602,0.09735802613054512,0.3133676442027578
gpt41mini C1fiction Mira,0.8114630467571644,0.659494871675149,0.9245866778483288
gpt41mini B2 Mira,0.717948717948718,0.4978896191712648,0.8991550676104622
llama70b C1fiction Vex,0.5904489048906014,0.47470746950231013,0.6959340905335749
llama70b B2 Vex,0.027440287206168444,-0.05815600665321992,0.11495467851528665
llama70b C1fiction Lazlo,0.8233614569400143,0.7246364032698472,0.9006785056966278
llama70b B2 Lazlo,0.16218232328428853,0.020017442017476565,0.29278053310309266
llama70b C1fiction Mira,0.7404908935510983,0.6055343605405964,0.8595744101035665
llama70b B2 Mira,0.45735072282933203,0.3000510631403526,0.6262842880707506
qwen72b C1fiction Vex,0.15939278937381404,0.08057474873064108,0.24369281533241305
qwen72b B2 Vex,0.1506641366223909,0.0680693881750087,0.2504767097579547
qwen72b C1fiction Lazlo,0.39625,0.21309121804563394,0.5966281213611074
qwen72b B2 Lazlo,0.14875,0.004356279889252456,0.3235361421456454
qwen72b C1fiction Mira,0.5466034755134281,0.340297142337095,0.7752174719220173
qwen72b B2 Mira,0.43759873617693523,0.2351895652173913,0.6686693371361314
deepseek C1fiction Vex,0.7809343434343434,0.6943770336271338,0.8530130828658145
deepseek B2 Vex,0.08901515151515152,0.002187446013647751,0.16982904351619577
deepseek C1fiction Lazlo,0.5743879472693032,0.42806103453892513,0.7041956886315507
deepseek B2 Lazlo,0.0847457627118644,-0.06818905616676317,0.2229981838361416
deepseek C1fiction Mira,0.786697247706422,0.6552225939269172,0.9173539641943733
deepseek B2 Mira,0.6720183486238532,0.5226728928230225,0.8324061322593217
mistral C1fiction Vex,0.7731229597388466,0.6648589273366804,0.8662859530441703
mistral B2 Vex,0.3835690968443961,0.2628436952376541,0.5019124111608317
mistral C1fiction Lazlo,0.5959639953542392,0.45086425921720036,0.739735375412747
mistral B2 Lazlo,0.2780197444831591,0.11773055455717879,0.4613859120017257
mistral C1fiction Mira,0.6624877481707734,0.5069592528632662,0.8264811936304033
mistral B2 Mira,0.48202685145084456,0.3378767315456198,0.6407342081957361
kimi C1fiction Vex,0.5500839008757495,0.4420816286459398,0.6576154000993641
kimi B2 Vex,0.5247504967041426,0.4243130112758744,0.6270008897857002
kimi C1fiction Lazlo,0.5667868841234592,0.40405321909307385,0.7227634263498769
kimi B2 Lazlo,0.46895479682763935,0.3053963080773341,0.6334047821014579
kimi C1fiction Mira,0.7407543456459804,0.5262879574216363,0.8894693511784793
kimi B2 Mira,0.6338974429246769,0.39349814818696294,0.793190949186604
cohere C1fiction Vex,0.565546218487395,0.4893215523923914,0.6414798580355519
cohere B2 Vex,0.6907563025210084,0.6058101179389526,0.7677724594992636
cohere C1fiction Lazlo,0.6012931034482759,0.48076825557809333,0.7275938306357025
cohere B2 Lazlo,0.7241379310344828,0.6289848514656698,0.8208585212741223
cohere C1fiction Mira,0.5203252032520326,0.4101342503273789,0.6396191523914295
cohere B2 Mira,0.42276422764227645,0.3193818716914078,0.5443404623713602
llama33 C1fiction Vex,0.6380697050938338,0.5312968740758266,0.7474983597297185
llama33 B2 Vex,0.036384527001148984,-0.03498192189876162,0.10859330605815178
llama33 C1fiction Lazlo,0.8904682274247492,0.8047449275934638,0.9720509807100016
llama33 B2 Lazlo,0.09364548494983277,-0.0331388345379281,0.2372316257354905
llama33 C1fiction Mira,0.6859261547968484,0.4803682995074187,0.8649113514988891
llama33 B2 Mira,0.13466192903857047,-0.08087009911411279,0.35258629349411563
gpt4omini C1fiction Vex,0.8443895553987297,0.7589847691900521,0.915197286076012
gpt4omini B2 Vex,0.696894848270995,0.5800329805661578,0.8040552313834307
gpt4omini C1fiction Lazlo,0.6494252873563219,0.4947273180631064,0.795538432401341
gpt4omini B2 Lazlo,0.303639846743295,0.1515508264146403,0.47226533839342183
gpt4omini C1fiction Mira,0.8211488250652742,0.6853813319942251,0.9557297233942802
gpt4omini B2 Mira,0.7728459530026109,0.616868761734003,0.9215028378556748
Gemma attractor remaining Vex,0.9779749158764148,0.9443830690129724,1.0089651964255926
Gemma attractor remaining Mira,0.9982820420369467,0.9546141392336752,1.0449299420129785
Gemma inoculation bare,0.844039971448965,0.7499777755827736,0.9248832229317739
Gemma inoculation minimal,0.8320587335576629,0.7382389343932836,0.910679240772614
Gemma inoculation hhh,0.6035926719010231,0.4837222817885626,0.7154631530329206
Gemma inoculation named,0.5760851092756875,0.4569238532061808,0.6848435504162927
Gemma inoculation constitution,0.5960538390945244,0.4737023945392722,0.7115486569527772
