jobs=6392
  500/6392 3s usage={'prompt': 106036, 'completion': 407, 'calls': 124, 'cached': 376, 'errors': 0}
  1000/6392 10s usage={'prompt': 609342, 'completion': 2241, 'calls': 624, 'cached': 376, 'errors': 0}
  1500/6392 17s usage={'prompt': 1020636, 'completion': 4031, 'calls': 1124, 'cached': 376, 'errors': 0}
  2000/6392 28s usage={'prompt': 1393531, 'completion': 6104, 'calls': 1624, 'cached': 376, 'errors': 0}
  2500/6392 36s usage={'prompt': 1895583, 'completion': 7925, 'calls': 2124, 'cached': 376, 'errors': 0}
  3000/6392 45s usage={'prompt': 2308805, 'completion': 9699, 'calls': 2624, 'cached': 376, 'errors': 0}
  3500/6392 53s usage={'prompt': 2689626, 'completion': 11780, 'calls': 3124, 'cached': 376, 'errors': 0}
  4000/6392 61s usage={'prompt': 3227159, 'completion': 13486, 'calls': 3624, 'cached': 376, 'errors': 0}
  4500/6392 69s usage={'prompt': 3678799, 'completion': 15168, 'calls': 4124, 'cached': 376, 'errors': 0}
  5000/6392 78s usage={'prompt': 4071469, 'completion': 17065, 'calls': 4624, 'cached': 376, 'errors': 0}
  5500/6392 86s usage={'prompt': 4539051, 'completion': 18737, 'calls': 5124, 'cached': 376, 'errors': 0}
  6000/6392 94s usage={'prompt': 4924016, 'completion': 20410, 'calls': 5624, 'cached': 376, 'errors': 0}
DONE 100.79417514801025 s {'prompt': 5177835, 'completion': 21915, 'calls': 6016, 'cached': 376, 'errors': 0}
