jobs=6392
  500/6392 8s usage={'prompt': 33170, 'completion': 235, 'calls': 132, 'cached': 368, 'errors': 0}
  1000/6392 32s usage={'prompt': 203731, 'completion': 1317, 'calls': 632, 'cached': 368, 'errors': 0}
  1500/6392 53s usage={'prompt': 442963, 'completion': 2497, 'calls': 1132, 'cached': 368, 'errors': 0}
  2000/6392 71s usage={'prompt': 708701, 'completion': 3614, 'calls': 1632, 'cached': 368, 'errors': 0}
  2500/6392 90s usage={'prompt': 873327, 'completion': 4721, 'calls': 2132, 'cached': 368, 'errors': 0}
  3000/6392 109s usage={'prompt': 1108206, 'completion': 5892, 'calls': 2632, 'cached': 368, 'errors': 0}
  3500/6392 127s usage={'prompt': 1381860, 'completion': 7107, 'calls': 3132, 'cached': 368, 'errors': 0}
  4000/6392 145s usage={'prompt': 1582291, 'completion': 8283, 'calls': 3632, 'cached': 368, 'errors': 0}
  4500/6392 163s usage={'prompt': 1849983, 'completion': 9453, 'calls': 4132, 'cached': 368, 'errors': 0}
  5000/6392 181s usage={'prompt': 2138054, 'completion': 10677, 'calls': 4632, 'cached': 368, 'errors': 0}
  5500/6392 199s usage={'prompt': 2280714, 'completion': 11840, 'calls': 5132, 'cached': 368, 'errors': 0}
  6000/6392 216s usage={'prompt': 2484095, 'completion': 12997, 'calls': 5632, 'cached': 368, 'errors': 0}
DONE 230.62025618553162 s {'prompt': 2699583, 'completion': 14112, 'calls': 6024, 'cached': 368, 'errors': 0}
