jobs=6392
  500/6392 3s usage={'prompt': 35937, 'completion': 352, 'calls': 132, 'cached': 368, 'errors': 0}
  1000/6392 12s usage={'prompt': 220739, 'completion': 1702, 'calls': 632, 'cached': 368, 'errors': 0}
  1500/6392 24s usage={'prompt': 483656, 'completion': 2889, 'calls': 1132, 'cached': 368, 'errors': 0}
  2000/6392 35s usage={'prompt': 771271, 'completion': 4289, 'calls': 1632, 'cached': 368, 'errors': 0}
  2500/6392 46s usage={'prompt': 953340, 'completion': 5651, 'calls': 2132, 'cached': 368, 'errors': 0}
  3000/6392 59s usage={'prompt': 1214619, 'completion': 6854, 'calls': 2632, 'cached': 368, 'errors': 0}
  3500/6392 73s usage={'prompt': 1515084, 'completion': 8112, 'calls': 3132, 'cached': 368, 'errors': 0}
  4000/6392 85s usage={'prompt': 1735616, 'completion': 9308, 'calls': 3632, 'cached': 368, 'errors': 0}
  4500/6392 98s usage={'prompt': 2033294, 'completion': 10500, 'calls': 4132, 'cached': 368, 'errors': 0}
  5000/6392 107s usage={'prompt': 2349616, 'completion': 11784, 'calls': 4632, 'cached': 368, 'errors': 0}
  5500/6392 120s usage={'prompt': 2509314, 'completion': 12936, 'calls': 5132, 'cached': 368, 'errors': 0}
  6000/6392 136s usage={'prompt': 2737456, 'completion': 14084, 'calls': 5632, 'cached': 368, 'errors': 0}
DONE 152.6087749004364 s {'prompt': 2975336, 'completion': 15299, 'calls': 6024, 'cached': 368, 'errors': 0}
