jobs=6392
  500/6392 5s usage={'prompt': 36920, 'completion': 277, 'calls': 132, 'cached': 368, 'errors': 0}
  1000/6392 15s usage={'prompt': 223195, 'completion': 1444, 'calls': 632, 'cached': 368, 'errors': 0}
  1500/6392 26s usage={'prompt': 485239, 'completion': 2703, 'calls': 1132, 'cached': 368, 'errors': 0}
  2000/6392 39s usage={'prompt': 777981, 'completion': 3869, 'calls': 1632, 'cached': 368, 'errors': 0}
  2500/6392 56s usage={'prompt': 959192, 'completion': 5028, 'calls': 2132, 'cached': 368, 'errors': 0}
  3000/6392 69s usage={'prompt': 1217241, 'completion': 6198, 'calls': 2632, 'cached': 368, 'errors': 0}
  3500/6392 80s usage={'prompt': 1516484, 'completion': 7417, 'calls': 3132, 'cached': 368, 'errors': 0}
  4000/6392 92s usage={'prompt': 1733835, 'completion': 8569, 'calls': 3632, 'cached': 368, 'errors': 0}
  4500/6392 106s usage={'prompt': 2024794, 'completion': 9803, 'calls': 4132, 'cached': 368, 'errors': 0}
  5000/6392 122s usage={'prompt': 2337946, 'completion': 10912, 'calls': 4632, 'cached': 368, 'errors': 0}
  5500/6392 137s usage={'prompt': 2500026, 'completion': 12066, 'calls': 5132, 'cached': 368, 'errors': 0}
  6000/6392 152s usage={'prompt': 2728908, 'completion': 13198, 'calls': 5632, 'cached': 368, 'errors': 0}
DONE 161.71137690544128 s {'prompt': 2969282, 'completion': 14348, 'calls': 6024, 'cached': 368, 'errors': 0}
