jobs=6392
  500/6392 3s usage={'prompt': 36271, 'completion': 330, 'calls': 132, 'cached': 368, 'errors': 0}
  1000/6392 14s usage={'prompt': 221963, 'completion': 1832, 'calls': 632, 'cached': 368, 'errors': 0}
  1500/6392 21s usage={'prompt': 488277, 'completion': 3410, 'calls': 1132, 'cached': 368, 'errors': 0}
  2000/6392 26s usage={'prompt': 786643, 'completion': 4724, 'calls': 1632, 'cached': 368, 'errors': 0}
  2500/6392 37s usage={'prompt': 966226, 'completion': 6232, 'calls': 2132, 'cached': 368, 'errors': 0}
  3000/6392 43s usage={'prompt': 1228543, 'completion': 7656, 'calls': 2632, 'cached': 368, 'errors': 0}
  3500/6392 48s usage={'prompt': 1535667, 'completion': 8966, 'calls': 3132, 'cached': 368, 'errors': 0}
  4000/6392 59s usage={'prompt': 1751733, 'completion': 10364, 'calls': 3632, 'cached': 368, 'errors': 0}
  4500/6392 65s usage={'prompt': 2047664, 'completion': 11746, 'calls': 4132, 'cached': 368, 'errors': 0}
  5000/6392 70s usage={'prompt': 2369263, 'completion': 12980, 'calls': 4632, 'cached': 368, 'errors': 0}
  5500/6392 81s usage={'prompt': 2528107, 'completion': 14244, 'calls': 5132, 'cached': 368, 'errors': 0}
  6000/6392 92s usage={'prompt': 2754309, 'completion': 15590, 'calls': 5632, 'cached': 368, 'errors': 0}
DONE 98.3324670791626 s {'prompt': 3001035, 'completion': 16829, 'calls': 6024, 'cached': 368, 'errors': 0}
