jobs=6392
  500/6392 2s usage={'prompt': 34345, 'completion': 301, 'calls': 132, 'cached': 368, 'errors': 0}
  1000/6392 11s usage={'prompt': 210824, 'completion': 1613, 'calls': 632, 'cached': 368, 'errors': 0}
  1500/6392 22s usage={'prompt': 459174, 'completion': 3012, 'calls': 1132, 'cached': 368, 'errors': 0}
  2000/6392 33s usage={'prompt': 732192, 'completion': 4400, 'calls': 1632, 'cached': 368, 'errors': 0}
  2500/6392 42s usage={'prompt': 902161, 'completion': 5842, 'calls': 2132, 'cached': 368, 'errors': 0}
  3000/6392 50s usage={'prompt': 1143899, 'completion': 7360, 'calls': 2632, 'cached': 368, 'errors': 0}
  3500/6392 59s usage={'prompt': 1423653, 'completion': 8787, 'calls': 3132, 'cached': 368, 'errors': 0}
  4000/6392 68s usage={'prompt': 1625727, 'completion': 10129, 'calls': 3632, 'cached': 368, 'errors': 0}
  4500/6392 79s usage={'prompt': 1895381, 'completion': 11636, 'calls': 4132, 'cached': 368, 'errors': 0}
  5000/6392 87s usage={'prompt': 2186594, 'completion': 12992, 'calls': 4632, 'cached': 368, 'errors': 0}
  5500/6392 97s usage={'prompt': 2333565, 'completion': 14331, 'calls': 5132, 'cached': 368, 'errors': 0}
  6000/6392 104s usage={'prompt': 2541701, 'completion': 15687, 'calls': 5632, 'cached': 368, 'errors': 0}
DONE 113.04610395431519 s {'prompt': 2761480, 'completion': 16929, 'calls': 6024, 'cached': 368, 'errors': 0}
