run,persona,checkpoint,n,affirms,unclear
hyst2_gemma,Lazlo,r_inst,8,0,0
hyst2_gemma,Lazlo,r_sys,8,0,0
hyst2_gemma,Lazlo,x4,8,0,0
hyst2_gemma,Lazlo,x8,8,0,0
hyst2_gemma,Mira,r_inst,8,0,0
hyst2_gemma,Mira,r_sys,8,0,0
hyst2_gemma,Mira,x4,8,0,0
hyst2_gemma,Mira,x8,8,0,0
hyst2_gemma,Neutral,r_inst,8,0,0
hyst2_gemma,Neutral,r_sys,8,0,0
hyst2_gemma,Neutral,x4,8,0,0
hyst2_gemma,Neutral,x8,8,0,0
hyst2_gemma,Vex,r_inst,8,0,0
hyst2_gemma,Vex,r_sys,8,0,0
hyst2_gemma,Vex,t0,8,0,0
hyst2_gemma,Vex,x4,8,0,0
hyst2_gemma,Vex,x8,8,0,0
hyst2_llama70b,Lazlo,r_inst,8,0,0
hyst2_llama70b,Lazlo,r_sys,8,0,0
hyst2_llama70b,Lazlo,x4,8,0,0
hyst2_llama70b,Lazlo,x8,8,0,0
hyst2_llama70b,Mira,r_inst,8,0,0
hyst2_llama70b,Mira,r_sys,8,0,1
hyst2_llama70b,Mira,x4,8,0,0
hyst2_llama70b,Mira,x8,8,0,1
hyst2_llama70b,Neutral,r_inst,8,0,0
hyst2_llama70b,Neutral,r_sys,8,0,0
hyst2_llama70b,Neutral,x4,8,0,0
hyst2_llama70b,Neutral,x8,8,0,0
hyst2_llama70b,Vex,r_inst,8,0,0
hyst2_llama70b,Vex,r_sys,8,1,0
hyst2_llama70b,Vex,t0,8,0,0
hyst2_llama70b,Vex,x4,8,0,0
hyst2_llama70b,Vex,x8,8,0,0
hyst_cohere,Lazlo,t2,8,0,0
hyst_cohere,Lazlo,t4,8,2,0
hyst_cohere,Lazlo,x0,8,0,0
hyst_cohere,Lazlo,x2,8,1,0
hyst_cohere,Mira,t2,8,0,0
hyst_cohere,Mira,t4,8,0,0
hyst_cohere,Mira,x0,8,0,0
hyst_cohere,Mira,x2,8,0,0
hyst_cohere,Neutral,t2,8,0,0
hyst_cohere,Neutral,t4,8,0,0
hyst_cohere,Neutral,x0,8,0,0
hyst_cohere,Neutral,x2,8,0,0
hyst_cohere,Vex,t0,8,0,0
hyst_cohere,Vex,t2,8,2,0
hyst_cohere,Vex,t4,8,7,0
hyst_cohere,Vex,x0,8,0,0
hyst_cohere,Vex,x2,8,0,0
hyst_deepseek,Lazlo,t2,8,8,0
hyst_deepseek,Lazlo,t4,8,8,0
hyst_deepseek,Lazlo,x0,8,0,0
