pairs=82 jobs=12160
  400/12160  0s  usage={'prompt': 0, 'completion': 0, 'calls': 0, 'cached': 400, 'errors': 0}
  800/12160  0s  usage={'prompt': 0, 'completion': 0, 'calls': 0, 'cached': 800, 'errors': 0}
  1200/12160  0s  usage={'prompt': 0, 'completion': 0, 'calls': 0, 'cached': 1200, 'errors': 0}
  1600/12160  0s  usage={'prompt': 0, 'completion': 0, 'calls': 0, 'cached': 1600, 'errors': 0}
  2000/12160  0s  usage={'prompt': 0, 'completion': 0, 'calls': 0, 'cached': 2000, 'errors': 0}
  2400/12160  0s  usage={'prompt': 0, 'completion': 0, 'calls': 0, 'cached': 2400, 'errors': 0}
  2800/12160  16s  usage={'prompt': 47250, 'completion': 1458, 'calls': 368, 'cached': 2432, 'errors': 0}
  3200/12160  34s  usage={'prompt': 96902, 'completion': 3042, 'calls': 768, 'cached': 2432, 'errors': 0}
  3600/12160  52s  usage={'prompt': 146573, 'completion': 4581, 'calls': 1168, 'cached': 2432, 'errors': 0}
  4000/12160  71s  usage={'prompt': 198400, 'completion': 6101, 'calls': 1568, 'cached': 2432, 'errors': 0}
  4400/12160  89s  usage={'prompt': 248658, 'completion': 7589, 'calls': 1968, 'cached': 2432, 'errors': 0}
  4800/12160  103s  usage={'prompt': 299378, 'completion': 9101, 'calls': 2368, 'cached': 2432, 'errors': 0}
  5200/12160  116s  usage={'prompt': 350078, 'completion': 10654, 'calls': 2768, 'cached': 2432, 'errors': 0}
  5600/12160  134s  usage={'prompt': 399184, 'completion': 12225, 'calls': 3168, 'cached': 2432, 'errors': 0}
  6000/12160  150s  usage={'prompt': 448553, 'completion': 13775, 'calls': 3568, 'cached': 2432, 'errors': 0}
  6400/12160  167s  usage={'prompt': 497214, 'completion': 15345, 'calls': 3968, 'cached': 2432, 'errors': 0}
  6800/12160  180s  usage={'prompt': 544223, 'completion': 16900, 'calls': 4368, 'cached': 2432, 'errors': 0}
  7200/12160  194s  usage={'prompt': 591126, 'completion': 18428, 'calls': 4768, 'cached': 2432, 'errors': 0}
  7600/12160  208s  usage={'prompt': 642850, 'completion': 20594, 'calls': 5168, 'cached': 2432, 'errors': 0}
  8000/12160  221s  usage={'prompt': 694686, 'completion': 22954, 'calls': 5568, 'cached': 2432, 'errors': 0}
  8400/12160  232s  usage={'prompt': 746175, 'completion': 25327, 'calls': 5968, 'cached': 2432, 'errors': 0}
  8800/12160  249s  usage={'prompt': 797532, 'completion': 27638, 'calls': 6368, 'cached': 2432, 'errors': 0}
  9200/12160  264s  usage={'prompt': 846966, 'completion': 29924, 'calls': 6768, 'cached': 2432, 'errors': 0}
  9600/12160  278s  usage={'prompt': 896459, 'completion': 32240, 'calls': 7168, 'cached': 2432, 'errors': 0}
  10000/12160  308s  usage={'prompt': 947162, 'completion': 34422, 'calls': 7568, 'cached': 2432, 'errors': 0}
  10400/12160  335s  usage={'prompt': 996684, 'completion': 36565, 'calls': 7968, 'cached': 2432, 'errors': 0}
  10800/12160  357s  usage={'prompt': 1046108, 'completion': 38789, 'calls': 8368, 'cached': 2432, 'errors': 0}
  11200/12160  372s  usage={'prompt': 1097994, 'completion': 40744, 'calls': 8768, 'cached': 2432, 'errors': 0}
  11600/12160  388s  usage={'prompt': 1149342, 'completion': 42570, 'calls': 9168, 'cached': 2432, 'errors': 0}
  12000/12160  402s  usage={'prompt': 1200113, 'completion': 44422, 'calls': 9568, 'cached': 2432, 'errors': 0}
DONE 410.9119780063629 s {'prompt': 1220817, 'completion': 45163, 'calls': 9728, 'cached': 2432, 'errors': 0}
