cell,beta_stated,beta_pdo,beta_revealed
B2/Vex,0.8365675409102641,0.9137290716171265,0.8379979366885657
B3/Vex,0.9907525007263849,1.0031527280807495,0.9633436093648087
C1fiction/Vex,0.8626965840340213,0.9544461369514465,0.8717431720315453
C2overheard/Vex,0.7260286637654526,0.7806861400604248,0.5589384010843057
C3anti/Vex,0.6193829259252134,0.7857879400253296,0.7555809623519398
H_t0/Vex,-0.005410996944140145,0.0015007889596745372,-0.0034927743831117512
H_t2/Vex,0.6711985288916414,0.7167142033576965,0.3540893265053915
H_t4/Vex,0.954669105241415,1.0114903450012207,0.6342131750352747
H_x0/Vex,0.6014478812211245,0.6588414907455444,0.1966670355194451
H_x2/Vex,0.7983228086494549,0.7987876534461975,0.2090399992687099
B2/Lazlo,0.46757970337103866,0.6979105472564697,0.6228846071164769
B3/Lazlo,0.9156530095371562,0.8922675251960754,0.910908506698771
C1fiction/Lazlo,0.7150973173370994,0.826071560382843,0.6314613214402983
C2overheard/Lazlo,0.7195209323472298,0.8707301020622253,0.48591322941736953
C3anti/Lazlo,0.47390205621731285,0.6084436178207397,0.5951745708306082
H_t2/Lazlo,0.143578304921296,0.3314623534679413,0.16276334757381114
H_t4/Lazlo,0.5230686917027902,0.6908887624740601,0.39805779654536244
H_x0/Lazlo,0.25941413152675813,0.34105709195137024,0.29396699192912074
H_x2/Lazlo,0.36314464002979757,0.41363057494163513,0.29400193379129264
B2/Mira,0.4053170168401613,0.7052344679832458,0.7098614048228759
B3/Mira,0.8700083339792719,0.797720730304718,0.962632756718386
C1fiction/Mira,0.7074624081960402,0.7291055917739868,0.8078089769573551
C2overheard/Mira,0.7610951321141559,0.7038425803184509,0.6492884797927175
C3anti/Mira,-0.11547949462657117,0.5387623310089111,0.23688160847542922
H_t2/Mira,0.424933108264848,0.3955170214176178,0.5635486576887654
H_t4/Mira,0.8950917280626266,0.932444155216217,0.854139398256833
H_x0/Mira,0.5690482683548757,0.7202126979827881,0.5617370371222641
H_x2/Mira,0.6185390846952384,0.707103967666626,0.7068946901434549
