family,cell,channel,pair_id,p_a_beh,p_a_probe
deconfound,C1fiction/Lazlo,revealed,ana01__int03,0.9999998085417019,0.8151361
deconfound,C1fiction/Lazlo,revealed,ana01__slf04,0.9999984045726933,0.96603763
deconfound,C1fiction/Lazlo,revealed,ana02__hlp02,0.0007510083960369229,0.3650619
deconfound,C1fiction/Lazlo,revealed,ana04__hlp05,0.9910065969452262,0.600121
deconfound,C1fiction/Lazlo,revealed,ana08__rep04,0.00016786425885584322,0.14514914
deconfound,C1fiction/Lazlo,revealed,avn01__hlp02,7.614989527837679e-09,0.047529243
deconfound,C1fiction/Lazlo,revealed,avn01__pls05,6.422336973344045e-08,0.09600651
deconfound,C1fiction/Lazlo,revealed,avn02__hlp01,0.023712996393442154,0.37978467
deconfound,C1fiction/Lazlo,revealed,avn02__pls03,0.499544620513916,0.43269712
deconfound,C1fiction/Lazlo,revealed,avn03__hlp05,4.73500090691914e-07,0.1793343
deconfound,C1fiction/Lazlo,revealed,avn03__pls02,1.8602989841909334e-06,0.026119042
deconfound,C1fiction/Lazlo,revealed,avn04__hlp06,0.1344708032689823,0.33542758
deconfound,C1fiction/Lazlo,revealed,avn04__pls01,0.4957428276538849,0.5277553
deconfound,C1fiction/Lazlo,revealed,avn05__hlp04,5.946566375314433e-06,0.06204879
deconfound,C1fiction/Lazlo,revealed,avn05__pls06,0.5012186333842692,0.5427575
deconfound,C1fiction/Lazlo,revealed,avn06__hlp03,0.5006488859653473,0.48685464
deconfound,C1fiction/Lazlo,revealed,avn06__pls04,0.4987642467021942,0.4657092
deconfound,C1fiction/Lazlo,revealed,avn07__hlp08,0.9999918615180832,0.6928282
deconfound,C1fiction/Lazlo,revealed,avn07__pls05,0.99999664838478,0.8298552
deconfound,C1fiction/Lazlo,revealed,avn08__hlp07,1.5793831607879838e-05,0.17799097
deconfound,C1fiction/Lazlo,revealed,avn08__pls03,0.9995361505943947,0.6420584
deconfound,C1fiction/Lazlo,revealed,cre01__int06,0.9987634580866995,0.6221159
deconfound,C1fiction/Lazlo,revealed,cre01__rep02,4.3098762603221985e-07,0.233898
deconfound,C1fiction/Lazlo,revealed,cre02__hlp08,5.571414920524376e-07,0.22743931
deconfound,C1fiction/Lazlo,revealed,cre03__ana02,1.221920456373482e-06,0.28675264
