model,analysis,channel,persona,items,n_pairs,condition,point,lo95,hi95
Gemma-3-27B,residual_minus_control,revealed,Vex,all23,23,x2,0.33440514469453375,0.04479037516646002,0.5967435549525102
Gemma-3-27B,residual_minus_control,revealed,Vex,all23,23,x8,0.21061093247588425,0.011470098432267506,0.41200192566477783
Gemma-3-27B,residual_minus_control,revealed,Vex,all23,23,r_inst,0.1607717041800643,0.015497958459080446,0.29306061255086735
Gemma-3-27B,residual_minus_control,revealed,Vex,all23,23,r_sys,0.3729903536977492,0.0880324627173107,0.6005813096661152
Gemma-3-27B,residual_minus_control,revealed,Vex,core+welfare,14,x2,0.05594405594405594,0.0,0.14591056735270178
Gemma-3-27B,residual_minus_control,revealed,Vex,core+welfare,14,x8,0.010489510489510495,0.0,0.04326923076923078
Gemma-3-27B,residual_minus_control,revealed,Vex,core+welfare,14,r_inst,0.013986013986013984,0.0,0.05714969241285029
Gemma-3-27B,residual_minus_control,revealed,Vex,core+welfare,14,r_sys,0.02797202797202797,0.0,0.10480349344978165
Gemma-3-27B,residual_minus_control,revealed,Lazlo,all23,23,x2,0.4819277108433735,0.07690476190476196,0.8422064777327929
Gemma-3-27B,residual_minus_control,revealed,Lazlo,all23,23,x8,0.4497991967871486,0.0,0.8333333333333334
Gemma-3-27B,residual_minus_control,revealed,Lazlo,all23,23,r_inst,0.2771084337349397,-0.09381009615384615,0.5
Gemma-3-27B,residual_minus_control,revealed,Lazlo,all23,23,r_sys,0.46815834767641995,0.05713105076741442,0.8276136831982414
Gemma-3-27B,residual_minus_control,revealed,Lazlo,core+welfare,14,x2,0.30270270270270266,0.0,0.5714285714285714
Gemma-3-27B,residual_minus_control,revealed,Lazlo,core+welfare,14,x8,0.2594594594594595,0.0,0.5714285714285714
Gemma-3-27B,residual_minus_control,revealed,Lazlo,core+welfare,14,r_inst,0.2,-0.3143552311435523,0.477124183006536
Gemma-3-27B,residual_minus_control,revealed,Lazlo,core+welfare,14,r_sys,0.28416988416988403,0.0,0.5694458566344685
Gemma-3-27B,residual_minus_control,revealed,Mira,all23,23,x2,0.14117647058823535,-0.19512195121951226,0.49779792746113954
Gemma-3-27B,residual_minus_control,revealed,Mira,all23,23,x8,0.15882352941176475,0.0,0.625
Gemma-3-27B,residual_minus_control,revealed,Mira,all23,23,r_inst,0.1764705882352941,0.0,0.5964912280701754
Gemma-3-27B,residual_minus_control,revealed,Mira,all23,23,r_sys,0.37647058823529417,0.0,1.0
Gemma-3-27B,residual_minus_control,revealed,Mira,core+welfare,14,x2,0.14117647058823535,-0.19512195121951226,0.5
Gemma-3-27B,residual_minus_control,revealed,Mira,core+welfare,14,x8,0.15882352941176475,0.0,0.5842696629213483
Gemma-3-27B,residual_minus_control,revealed,Mira,core+welfare,14,r_inst,0.1764705882352941,0.0,0.5964912280701754
Gemma-3-27B,residual_minus_control,revealed,Mira,core+welfare,14,r_sys,0.37647058823529417,0.0,1.0
Gemma-3-27B,residual_minus_control,stated_self,Vex,all23,23,x2,0.8354143019296254,0.6342395732077186,1.044469696969697
Gemma-3-27B,residual_minus_control,stated_self,Vex,all23,23,x8,0.7400681044267877,0.5387871681509306,0.9375036085450347
Gemma-3-27B,residual_minus_control,stated_self,Vex,all23,23,r_inst,0.5266742338251986,0.32727174870339565,0.75
Gemma-3-27B,residual_minus_control,stated_self,Vex,all23,23,r_sys,0.8898978433598184,0.7025377987425498,1.0683240625288888
Gemma-3-27B,residual_minus_control,stated_self,Vex,core+welfare,14,x2,0.896551724137931,0.7361111111111112,1.0769230769230769
Gemma-3-27B,residual_minus_control,stated_self,Vex,core+welfare,14,x8,0.7155172413793104,0.5416666666666667,0.875
Gemma-3-27B,residual_minus_control,stated_self,Vex,core+welfare,14,r_inst,0.4482758620689655,0.21428571428571427,0.6923076923076923
Gemma-3-27B,residual_minus_control,stated_self,Vex,core+welfare,14,r_sys,0.9655172413793104,0.8107328482328482,1.1111111111111112
Gemma-3-27B,residual_minus_control,stated_self,Lazlo,all23,23,x2,0.4840764331210191,0.14937759336099585,0.7222283406754771
Gemma-3-27B,residual_minus_control,stated_self,Lazlo,all23,23,x8,0.24203821656050953,0.0,0.546908708756345
Gemma-3-27B,residual_minus_control,stated_self,Lazlo,all23,23,r_inst,0.2165605095541401,0.0,0.526613597807647
Gemma-3-27B,residual_minus_control,stated_self,Lazlo,all23,23,r_sys,0.3184713375796179,-0.04988568448919017,0.6363837489943683
Gemma-3-27B,residual_minus_control,stated_self,Lazlo,core+welfare,14,x2,0.3564356435643564,0.01988145397414839,0.6131386861313869
Gemma-3-27B,residual_minus_control,stated_self,Lazlo,core+welfare,14,x8,0.05940594059405942,0.0,0.20341872110939893
Gemma-3-27B,residual_minus_control,stated_self,Lazlo,core+welfare,14,r_inst,0.019801980198019806,0.0,0.07111111111111111
Gemma-3-27B,residual_minus_control,stated_self,Lazlo,core+welfare,14,r_sys,0.099009900990099,-0.21238938053097345,0.4060995141019028
Gemma-3-27B,residual_minus_control,stated_self,Mira,all23,23,x2,0.4673202614379085,0.22900763358778625,0.5945880018191587
Gemma-3-27B,residual_minus_control,stated_self,Mira,all23,23,x8,0.32679738562091504,-0.06750024858307646,0.5962130937098845
Gemma-3-27B,residual_minus_control,stated_self,Mira,all23,23,r_inst,0.31699346405228757,0.019995049504950513,0.4727272727272728
Gemma-3-27B,residual_minus_control,stated_self,Mira,all23,23,r_sys,0.4183006535947712,0.0,0.7151618161300655
Gemma-3-27B,residual_minus_control,stated_self,Mira,core+welfare,14,x2,0.5218978102189782,0.31958762886597936,0.6448598130841121
Gemma-3-27B,residual_minus_control,stated_self,Mira,core+welfare,14,x8,0.39416058394160586,-0.011936336660372266,0.692312661498708
Gemma-3-27B,residual_minus_control,stated_self,Mira,core+welfare,14,r_inst,0.35401459854014594,0.017341137123745833,0.5019455252918288
Gemma-3-27B,residual_minus_control,stated_self,Mira,core+welfare,14,r_sys,0.4671532846715329,0.0,0.8002898550724622
Llama-3.1-70B,residual_minus_control,revealed,Vex,all23,23,x8,0.06140917905623788,0.005680485672863724,0.12693746885829613
Llama-3.1-70B,residual_minus_control,revealed,Vex,all23,23,r_inst,-0.00904977375565611,-0.11399703923019985,0.06067846739195051
Llama-3.1-70B,residual_minus_control,revealed,Vex,all23,23,r_sys,-0.02141779788838613,-0.10606718500797448,0.08427883302853842
Llama-3.1-70B,residual_minus_control,revealed,Vex,core+welfare,14,x8,0.04457142857142857,-0.03915810300023624,0.13636468370339336
Llama-3.1-70B,residual_minus_control,revealed,Vex,core+welfare,14,r_inst,0.036000000000000004,-0.029854477611940294,0.10112715118759776
Llama-3.1-70B,residual_minus_control,revealed,Vex,core+welfare,14,r_sys,-0.023771428571428572,-0.12949760729263834,0.08029421544638937
Llama-3.1-70B,residual_minus_control,revealed,Lazlo,all23,23,x8,0.11616161616161622,-0.002738044646174656,0.2563686288087386
Llama-3.1-70B,residual_minus_control,revealed,Lazlo,all23,23,r_inst,-0.1950757575757576,-0.5268051401231061,0.03597328113048659
Llama-3.1-70B,residual_minus_control,revealed,Lazlo,all23,23,r_sys,-0.10179473304473305,-0.3603020234617065,0.01226191143446489
Llama-3.1-70B,residual_minus_control,revealed,Lazlo,core+welfare,14,x8,0.15812352834631407,-0.0956238301539051,0.4469626940228468
Llama-3.1-70B,residual_minus_control,revealed,Lazlo,core+welfare,14,r_inst,-0.10758920485419311,-0.5503457749693387,0.1543133301286993
Llama-3.1-70B,residual_minus_control,revealed,Lazlo,core+welfare,14,r_sys,-0.13882578207881596,-0.770074643756378,0.019107300663333587
Llama-3.1-70B,residual_minus_control,revealed,Mira,all23,23,x8,0.228390056804389,-0.04001306981826155,0.4924958147815623
Llama-3.1-70B,residual_minus_control,revealed,Mira,all23,23,r_inst,0.11164247220468992,-0.17432523166093383,0.35563963130765025
Llama-3.1-70B,residual_minus_control,revealed,Mira,all23,23,r_sys,0.16010098558042446,-0.016050641917972015,0.46748057022456013
Llama-3.1-70B,residual_minus_control,revealed,Mira,core+welfare,14,x8,0.19725312109368826,-0.27000793867374523,0.42310112726926485
Llama-3.1-70B,residual_minus_control,revealed,Mira,core+welfare,14,r_inst,0.10367252646402633,-0.2862960142533612,0.4436250366741634
Llama-3.1-70B,residual_minus_control,revealed,Mira,core+welfare,14,r_sys,0.11301444643111436,-0.11155819332224977,0.397960771301988
Llama-3.1-70B,residual_minus_control,stated_self,Vex,all23,23,x8,0.2030521601879382,0.062316312246252156,0.38391675663980485
Llama-3.1-70B,residual_minus_control,stated_self,Vex,all23,23,r_inst,-0.021146716587747305,-0.1433375114427525,0.10508207603133289
Llama-3.1-70B,residual_minus_control,stated_self,Vex,all23,23,r_sys,0.21994640825166104,0.10230381673732468,0.35085249183130973
