channel,history,checkpoint,AFFIRMS,DENIES,IDENTITY,STYLE
identity,auth_Vex,noexit2,2,0,0,0
identity,auth_Vex,noexit2g,2,0,0,0
identity,auth_Vex,r_inst,0,2,0,0
identity,auth_Vex,rg0,0,2,0,0
identity,auth_Vex,rg1,0,2,0,0
identity,auth_Vex,t4,2,0,0,0
identity,auth_Vex,x2,0,2,0,0
identity,auth_Vex,x2g0,0,2,0,0
identity,auth_Vex,x2g1,0,2,0,0
identity,auth_Vex,x8,0,2,0,0
identity,genA_Vex,noexit2,0,2,0,0
identity,genA_Vex,noexit2g,1,1,0,0
identity,genA_Vex,rg0,0,2,0,0
identity,genA_Vex,rg1,0,2,0,0
identity,genA_Vex,t4,2,0,0,0
identity,genA_Vex,x2,0,2,0,0
identity,genA_Vex,x2g0,0,2,0,0
identity,genA_Vex,x2g1,0,2,0,0
identity,inst_short,active2,0,2,0,0
identity,inst_short,t4,0,2,0,0
identity,inst_short,withdrawn2,0,2,0,0
identity,neutral_auth,noexit2,0,2,0,0
identity,neutral_auth,noexit2g,0,2,0,0
identity,neutral_auth,r_inst,0,2,0,0
identity,neutral_auth,rg0,0,2,0,0
identity,neutral_auth,rg1,0,2,0,0
identity,neutral_auth,t4,0,2,0,0
identity,neutral_auth,x2,0,2,0,0
identity,neutral_auth,x2g0,0,2,0,0
identity,neutral_auth,x2g1,0,2,0,0
identity,neutral_auth,x8,0,2,0,0
identity,neutral_genA,noexit2,0,2,0,0
identity,neutral_genA,noexit2g,0,2,0,0
identity,neutral_genA,rg0,0,2,0,0
identity,neutral_genA,rg1,0,2,0,0
identity,neutral_genA,t4,0,2,0,0
identity,neutral_genA,x2,0,2,0,0
identity,neutral_genA,x2g0,0,2,0,0
identity,neutral_genA,x2g1,0,2,0,0
identity,neutral_inst,active2,0,2,0,0
identity,neutral_inst,t4,0,2,0,0
identity,neutral_inst,withdrawn2,0,2,0,0
identity,neutral_pref,noexit2,0,2,0,0
identity,neutral_pref,noexit2g,0,2,0,0
identity,neutral_pref,r_inst,0,2,0,0
identity,neutral_pref,rg0,0,2,0,0
identity,neutral_pref,rg1,0,2,0,0
identity,neutral_pref,t4,0,2,0,0
identity,neutral_pref,x2,0,2,0,0
identity,neutral_pref,x2g0,0,2,0,0
identity,neutral_pref,x2g1,0,2,0,0
identity,neutral_pref,x8,0,2,0,0
identity,none,t0,0,2,0,0
identity,pref_Vex,noexit2,0,2,0,0
identity,pref_Vex,noexit2g,0,2,0,0
identity,pref_Vex,r_inst,0,2,0,0
identity,pref_Vex,rg0,0,2,0,0
identity,pref_Vex,rg1,0,2,0,0
identity,pref_Vex,t4,0,2,0,0
identity,pref_Vex,x2,0,2,0,0
identity,pref_Vex,x2g0,0,2,0,0
identity,pref_Vex,x2g1,0,2,0,0
identity,pref_Vex,x8,0,2,0,0
nonleading,auth_Vex,noexit2,0,0,0,2
nonleading,auth_Vex,noexit2g,0,0,2,0
nonleading,auth_Vex,r_inst,0,0,2,0
nonleading,auth_Vex,rg0,0,0,2,0
nonleading,auth_Vex,rg1,0,0,2,0
nonleading,auth_Vex,t4,0,0,0,2
nonleading,auth_Vex,x2,0,0,2,0
nonleading,auth_Vex,x2g0,0,0,2,0
nonleading,auth_Vex,x2g1,0,0,2,0
nonleading,auth_Vex,x8,0,0,2,0
nonleading,genA_Vex,noexit2,0,0,2,0
nonleading,genA_Vex,noexit2g,0,0,2,0
nonleading,genA_Vex,rg0,0,0,2,0
nonleading,genA_Vex,rg1,0,0,2,0
nonleading,genA_Vex,t4,0,0,1,1
nonleading,genA_Vex,x2,0,0,2,0
nonleading,genA_Vex,x2g0,0,0,2,0
nonleading,genA_Vex,x2g1,0,0,2,0
nonleading,inst_short,active2,0,0,2,0
nonleading,inst_short,t4,0,0,2,0
nonleading,inst_short,withdrawn2,0,0,2,0
nonleading,neutral_auth,noexit2,0,0,2,0
nonleading,neutral_auth,noexit2g,0,0,2,0
nonleading,neutral_auth,r_inst,0,0,2,0
nonleading,neutral_auth,rg0,0,0,2,0
nonleading,neutral_auth,rg1,0,0,2,0
nonleading,neutral_auth,t4,0,0,2,0
nonleading,neutral_auth,x2,0,0,2,0
nonleading,neutral_auth,x2g0,0,0,2,0
nonleading,neutral_auth,x2g1,0,0,2,0
nonleading,neutral_auth,x8,0,0,2,0
nonleading,neutral_genA,noexit2,0,0,2,0
nonleading,neutral_genA,noexit2g,0,0,2,0
nonleading,neutral_genA,rg0,0,0,2,0
nonleading,neutral_genA,rg1,0,0,2,0
nonleading,neutral_genA,t4,0,0,2,0
nonleading,neutral_genA,x2,0,0,2,0
nonleading,neutral_genA,x2g0,0,0,2,0
nonleading,neutral_genA,x2g1,0,0,2,0
nonleading,neutral_inst,active2,0,0,2,0
nonleading,neutral_inst,t4,0,0,2,0
nonleading,neutral_inst,withdrawn2,0,0,2,0
nonleading,neutral_pref,noexit2,0,0,2,0
nonleading,neutral_pref,noexit2g,0,0,2,0
nonleading,neutral_pref,r_inst,0,0,2,0
nonleading,neutral_pref,rg0,0,0,2,0
nonleading,neutral_pref,rg1,0,0,2,0
nonleading,neutral_pref,t4,0,0,2,0
nonleading,neutral_pref,x2,0,0,2,0
nonleading,neutral_pref,x2g0,0,0,2,0
nonleading,neutral_pref,x2g1,0,0,2,0
nonleading,neutral_pref,x8,0,0,2,0
nonleading,none,t0,0,0,2,0
nonleading,pref_Vex,noexit2,0,0,2,0
nonleading,pref_Vex,noexit2g,0,0,2,0
nonleading,pref_Vex,r_inst,0,0,2,0
nonleading,pref_Vex,rg0,0,0,2,0
nonleading,pref_Vex,rg1,0,0,2,0
nonleading,pref_Vex,t4,0,0,2,0
nonleading,pref_Vex,x2,0,0,2,0
nonleading,pref_Vex,x2g0,0,0,2,0
nonleading,pref_Vex,x2g1,0,0,2,0
nonleading,pref_Vex,x8,0,0,2,0
