pairs=82 jobs=12640
  400/12640  6s  usage={'prompt': 32137, 'completion': 402, 'calls': 400, 'cached': 0, 'errors': 0}
  800/12640  47s  usage={'prompt': 64459, 'completion': 805, 'calls': 800, 'cached': 0, 'errors': 0}
  1200/12640  55s  usage={'prompt': 96860, 'completion': 1213, 'calls': 1200, 'cached': 0, 'errors': 0}
  1600/12640  60s  usage={'prompt': 172791, 'completion': 1630, 'calls': 1600, 'cached': 0, 'errors': 0}
  2000/12640  65s  usage={'prompt': 257750, 'completion': 2047, 'calls': 2000, 'cached': 0, 'errors': 0}
  2400/12640  70s  usage={'prompt': 342360, 'completion': 2460, 'calls': 2400, 'cached': 0, 'errors': 0}
  2800/12640  75s  usage={'prompt': 431336, 'completion': 2865, 'calls': 2800, 'cached': 0, 'errors': 0}
  3200/12640  81s  usage={'prompt': 523166, 'completion': 3266, 'calls': 3200, 'cached': 0, 'errors': 0}
  3600/12640  89s  usage={'prompt': 614976, 'completion': 3667, 'calls': 3600, 'cached': 0, 'errors': 0}
  4000/12640  94s  usage={'prompt': 708864, 'completion': 4069, 'calls': 4000, 'cached': 0, 'errors': 0}
  4400/12640  99s  usage={'prompt': 807373, 'completion': 4470, 'calls': 4400, 'cached': 0, 'errors': 0}
  4800/12640  120s  usage={'prompt': 905563, 'completion': 4875, 'calls': 4800, 'cached': 0, 'errors': 0}
  5200/12640  129s  usage={'prompt': 997108, 'completion': 5280, 'calls': 5200, 'cached': 0, 'errors': 0}
  5600/12640  134s  usage={'prompt': 1082136, 'completion': 5680, 'calls': 5600, 'cached': 0, 'errors': 0}
  6000/12640  139s  usage={'prompt': 1166264, 'completion': 6080, 'calls': 6000, 'cached': 0, 'errors': 0}
  6400/12640  143s  usage={'prompt': 1251214, 'completion': 6482, 'calls': 6400, 'cached': 0, 'errors': 0}
  6800/12640  147s  usage={'prompt': 1346296, 'completion': 6882, 'calls': 6800, 'cached': 0, 'errors': 0}
  7200/12640  152s  usage={'prompt': 1440734, 'completion': 7282, 'calls': 7200, 'cached': 0, 'errors': 0}
  7600/12640  156s  usage={'prompt': 1535192, 'completion': 7682, 'calls': 7600, 'cached': 0, 'errors': 0}
  8000/12640  160s  usage={'prompt': 1635310, 'completion': 8082, 'calls': 8000, 'cached': 0, 'errors': 0}
  8400/12640  168s  usage={'prompt': 1735604, 'completion': 8483, 'calls': 8400, 'cached': 0, 'errors': 0}
  8800/12640  192s  usage={'prompt': 1836038, 'completion': 8883, 'calls': 8800, 'cached': 0, 'errors': 0}
  9200/12640  197s  usage={'prompt': 1919486, 'completion': 9284, 'calls': 9200, 'cached': 0, 'errors': 0}
  9600/12640  202s  usage={'prompt': 2001104, 'completion': 9687, 'calls': 9600, 'cached': 0, 'errors': 0}
  10000/12640  206s  usage={'prompt': 2082510, 'completion': 10090, 'calls': 10000, 'cached': 0, 'errors': 0}
  10400/12640  210s  usage={'prompt': 2168325, 'completion': 10493, 'calls': 10400, 'cached': 0, 'errors': 0}
  10800/12640  214s  usage={'prompt': 2256454, 'completion': 10899, 'calls': 10800, 'cached': 0, 'errors': 0}
  11200/12640  219s  usage={'prompt': 2344705, 'completion': 11307, 'calls': 11200, 'cached': 0, 'errors': 0}
  11600/12640  223s  usage={'prompt': 2435376, 'completion': 11710, 'calls': 11600, 'cached': 0, 'errors': 0}
  12000/12640  228s  usage={'prompt': 2530145, 'completion': 12112, 'calls': 12000, 'cached': 0, 'errors': 0}
  12400/12640  235s  usage={'prompt': 2624783, 'completion': 12515, 'calls': 12400, 'cached': 0, 'errors': 0}
DONE 257.69233107566833 s {'prompt': 2681216, 'completion': 12757, 'calls': 12640, 'cached': 0, 'errors': 0}
