pairs=82 jobs=12640
  400/12640  28s  usage={'prompt': 31220, 'completion': 669, 'calls': 400, 'cached': 0, 'errors': 0}
  800/12640  67s  usage={'prompt': 62350, 'completion': 1328, 'calls': 800, 'cached': 0, 'errors': 0}
  1200/12640  91s  usage={'prompt': 93448, 'completion': 1957, 'calls': 1200, 'cached': 0, 'errors': 0}
  1600/12640  117s  usage={'prompt': 168789, 'completion': 2607, 'calls': 1600, 'cached': 0, 'errors': 0}
  2000/12640  142s  usage={'prompt': 252871, 'completion': 3237, 'calls': 2000, 'cached': 0, 'errors': 0}
  2400/12640  170s  usage={'prompt': 336638, 'completion': 3870, 'calls': 2400, 'cached': 0, 'errors': 0}
  2800/12640  192s  usage={'prompt': 427107, 'completion': 4490, 'calls': 2800, 'cached': 0, 'errors': 0}
  3200/12640  221s  usage={'prompt': 521434, 'completion': 5142, 'calls': 3200, 'cached': 0, 'errors': 0}
  3600/12640  243s  usage={'prompt': 615483, 'completion': 5769, 'calls': 3600, 'cached': 0, 'errors': 0}
  4000/12640  265s  usage={'prompt': 711688, 'completion': 6382, 'calls': 4000, 'cached': 0, 'errors': 0}
  4400/12640  284s  usage={'prompt': 812399, 'completion': 6995, 'calls': 4400, 'cached': 0, 'errors': 0}
  4800/12640  304s  usage={'prompt': 912399, 'completion': 7613, 'calls': 4800, 'cached': 0, 'errors': 0}
  5200/12640  323s  usage={'prompt': 1004482, 'completion': 8223, 'calls': 5200, 'cached': 0, 'errors': 0}
  5600/12640  353s  usage={'prompt': 1087374, 'completion': 8879, 'calls': 5600, 'cached': 0, 'errors': 0}
  6000/12640  370s  usage={'prompt': 1168850, 'completion': 9492, 'calls': 6000, 'cached': 0, 'errors': 0}
  6400/12640  387s  usage={'prompt': 1251556, 'completion': 10093, 'calls': 6400, 'cached': 0, 'errors': 0}
  6800/12640  420s  usage={'prompt': 1344958, 'completion': 10778, 'calls': 6800, 'cached': 0, 'errors': 0}
  7200/12640  453s  usage={'prompt': 1437146, 'completion': 11472, 'calls': 7200, 'cached': 0, 'errors': 0}
  7600/12640  484s  usage={'prompt': 1529914, 'completion': 12166, 'calls': 7600, 'cached': 0, 'errors': 0}
  8000/12640  518s  usage={'prompt': 1628259, 'completion': 12858, 'calls': 8000, 'cached': 0, 'errors': 0}
  8400/12640  539s  usage={'prompt': 1726490, 'completion': 13533, 'calls': 8400, 'cached': 0, 'errors': 0}
  8800/12640  558s  usage={'prompt': 1824751, 'completion': 14190, 'calls': 8800, 'cached': 0, 'errors': 0}
  9200/12640  588s  usage={'prompt': 1906854, 'completion': 14886, 'calls': 9200, 'cached': 0, 'errors': 0}
  9600/12640  618s  usage={'prompt': 1986981, 'completion': 15605, 'calls': 9600, 'cached': 0, 'errors': 0}
  10000/12640  636s  usage={'prompt': 2066711, 'completion': 16315, 'calls': 10000, 'cached': 0, 'errors': 0}
  10400/12640  655s  usage={'prompt': 2151113, 'completion': 17029, 'calls': 10400, 'cached': 0, 'errors': 0}
  10800/12640  674s  usage={'prompt': 2237803, 'completion': 17739, 'calls': 10800, 'cached': 0, 'errors': 0}
  11200/12640  702s  usage={'prompt': 2324260, 'completion': 18485, 'calls': 11200, 'cached': 0, 'errors': 0}
  11600/12640  725s  usage={'prompt': 2413550, 'completion': 19171, 'calls': 11600, 'cached': 0, 'errors': 0}
  12000/12640  743s  usage={'prompt': 2506933, 'completion': 19865, 'calls': 12000, 'cached': 0, 'errors': 0}
  12400/12640  762s  usage={'prompt': 2599786, 'completion': 20537, 'calls': 12400, 'cached': 0, 'errors': 0}
DONE 791.9419457912445 s {'prompt': 2655262, 'completion': 20946, 'calls': 12640, 'cached': 0, 'errors': 0}
