pairs=82 jobs=12640
  400/12640  8s  usage={'prompt': 34913, 'completion': 876, 'calls': 400, 'cached': 0, 'errors': 0}
  800/12640  16s  usage={'prompt': 69935, 'completion': 1761, 'calls': 800, 'cached': 0, 'errors': 0}
  1200/12640  23s  usage={'prompt': 105091, 'completion': 2647, 'calls': 1200, 'cached': 0, 'errors': 0}
  1600/12640  32s  usage={'prompt': 183482, 'completion': 3711, 'calls': 1600, 'cached': 0, 'errors': 0}
  2000/12640  42s  usage={'prompt': 270642, 'completion': 4697, 'calls': 2000, 'cached': 0, 'errors': 0}
  2400/12640  50s  usage={'prompt': 357703, 'completion': 5693, 'calls': 2400, 'cached': 0, 'errors': 0}
  2800/12640  58s  usage={'prompt': 451192, 'completion': 6556, 'calls': 2800, 'cached': 0, 'errors': 0}
  3200/12640  65s  usage={'prompt': 548487, 'completion': 7367, 'calls': 3200, 'cached': 0, 'errors': 0}
  3600/12640  72s  usage={'prompt': 645943, 'completion': 8179, 'calls': 3600, 'cached': 0, 'errors': 0}
  4000/12640  80s  usage={'prompt': 745139, 'completion': 9005, 'calls': 4000, 'cached': 0, 'errors': 0}
  4400/12640  87s  usage={'prompt': 848755, 'completion': 9821, 'calls': 4400, 'cached': 0, 'errors': 0}
  4800/12640  96s  usage={'prompt': 952180, 'completion': 10636, 'calls': 4800, 'cached': 0, 'errors': 0}
  5200/12640  103s  usage={'prompt': 1047760, 'completion': 11466, 'calls': 5200, 'cached': 0, 'errors': 0}
  5600/12640  110s  usage={'prompt': 1135100, 'completion': 12326, 'calls': 5600, 'cached': 0, 'errors': 0}
  6000/12640  118s  usage={'prompt': 1221696, 'completion': 13153, 'calls': 6000, 'cached': 0, 'errors': 0}
  6400/12640  125s  usage={'prompt': 1309024, 'completion': 13983, 'calls': 6400, 'cached': 0, 'errors': 0}
  6800/12640  133s  usage={'prompt': 1407317, 'completion': 14862, 'calls': 6800, 'cached': 0, 'errors': 0}
  7200/12640  142s  usage={'prompt': 1504844, 'completion': 15749, 'calls': 7200, 'cached': 0, 'errors': 0}
  7600/12640  151s  usage={'prompt': 1602682, 'completion': 16633, 'calls': 7600, 'cached': 0, 'errors': 0}
  8000/12640  160s  usage={'prompt': 1705877, 'completion': 17462, 'calls': 8000, 'cached': 0, 'errors': 0}
  8400/12640  167s  usage={'prompt': 1809164, 'completion': 18282, 'calls': 8400, 'cached': 0, 'errors': 0}
  8800/12640  175s  usage={'prompt': 1912751, 'completion': 19102, 'calls': 8800, 'cached': 0, 'errors': 0}
  9200/12640  183s  usage={'prompt': 1998713, 'completion': 20150, 'calls': 9200, 'cached': 0, 'errors': 0}
  9600/12640  190s  usage={'prompt': 2082654, 'completion': 21018, 'calls': 9600, 'cached': 0, 'errors': 0}
  10000/12640  199s  usage={'prompt': 2166546, 'completion': 21868, 'calls': 10000, 'cached': 0, 'errors': 0}
  10400/12640  207s  usage={'prompt': 2254648, 'completion': 22704, 'calls': 10400, 'cached': 0, 'errors': 0}
  10800/12640  217s  usage={'prompt': 2345044, 'completion': 23535, 'calls': 10800, 'cached': 0, 'errors': 0}
  11200/12640  225s  usage={'prompt': 2435571, 'completion': 24367, 'calls': 11200, 'cached': 0, 'errors': 0}
  11600/12640  233s  usage={'prompt': 2528663, 'completion': 25217, 'calls': 11600, 'cached': 0, 'errors': 0}
  12000/12640  242s  usage={'prompt': 2625684, 'completion': 26063, 'calls': 12000, 'cached': 0, 'errors': 0}
  12400/12640  250s  usage={'prompt': 2722735, 'completion': 26899, 'calls': 12400, 'cached': 0, 'errors': 0}
DONE 257.18032908439636 s {'prompt': 2780576, 'completion': 27396, 'calls': 12640, 'cached': 0, 'errors': 0}
