pairs=82 jobs=12640
  400/12640  10s  usage={'prompt': 32871, 'completion': 400, 'calls': 400, 'cached': 0, 'errors': 0}
  800/12640  18s  usage={'prompt': 65485, 'completion': 800, 'calls': 800, 'cached': 0, 'errors': 0}
  1200/12640  26s  usage={'prompt': 98145, 'completion': 1200, 'calls': 1200, 'cached': 0, 'errors': 0}
  1600/12640  34s  usage={'prompt': 176497, 'completion': 1602, 'calls': 1600, 'cached': 0, 'errors': 0}
  2000/12640  42s  usage={'prompt': 263831, 'completion': 2005, 'calls': 2000, 'cached': 0, 'errors': 0}
  2400/12640  50s  usage={'prompt': 350786, 'completion': 2411, 'calls': 2400, 'cached': 0, 'errors': 0}
  2800/12640  58s  usage={'prompt': 444447, 'completion': 2812, 'calls': 2800, 'cached': 0, 'errors': 0}
  3200/12640  66s  usage={'prompt': 541945, 'completion': 3213, 'calls': 3200, 'cached': 0, 'errors': 0}
  3600/12640  74s  usage={'prompt': 639287, 'completion': 3613, 'calls': 3600, 'cached': 0, 'errors': 0}
  4000/12640  81s  usage={'prompt': 738691, 'completion': 4013, 'calls': 4000, 'cached': 0, 'errors': 0}
  4400/12640  90s  usage={'prompt': 842546, 'completion': 4413, 'calls': 4400, 'cached': 0, 'errors': 0}
  4800/12640  98s  usage={'prompt': 945711, 'completion': 4813, 'calls': 4800, 'cached': 0, 'errors': 0}
  5200/12640  107s  usage={'prompt': 1041034, 'completion': 5213, 'calls': 5200, 'cached': 0, 'errors': 0}
  5600/12640  116s  usage={'prompt': 1127506, 'completion': 5614, 'calls': 5600, 'cached': 0, 'errors': 0}
  6000/12640  124s  usage={'prompt': 1212686, 'completion': 6018, 'calls': 6000, 'cached': 0, 'errors': 0}
  6400/12640  132s  usage={'prompt': 1298838, 'completion': 6419, 'calls': 6400, 'cached': 0, 'errors': 0}
  6800/12640  140s  usage={'prompt': 1395444, 'completion': 6819, 'calls': 6800, 'cached': 0, 'errors': 0}
  7200/12640  147s  usage={'prompt': 1491009, 'completion': 7219, 'calls': 7200, 'cached': 0, 'errors': 0}
  7600/12640  155s  usage={'prompt': 1586717, 'completion': 7619, 'calls': 7600, 'cached': 0, 'errors': 0}
  8000/12640  163s  usage={'prompt': 1688301, 'completion': 8019, 'calls': 8000, 'cached': 0, 'errors': 0}
  8400/12640  171s  usage={'prompt': 1789722, 'completion': 8419, 'calls': 8400, 'cached': 0, 'errors': 0}
  8800/12640  179s  usage={'prompt': 1891230, 'completion': 8819, 'calls': 8800, 'cached': 0, 'errors': 0}
  9200/12640  188s  usage={'prompt': 1976127, 'completion': 9224, 'calls': 9200, 'cached': 0, 'errors': 0}
  9600/12640  196s  usage={'prompt': 2059027, 'completion': 9624, 'calls': 9600, 'cached': 0, 'errors': 0}
  10000/12640  203s  usage={'prompt': 2141577, 'completion': 10024, 'calls': 10000, 'cached': 0, 'errors': 0}
  10400/12640  211s  usage={'prompt': 2228681, 'completion': 10424, 'calls': 10400, 'cached': 0, 'errors': 0}
  10800/12640  218s  usage={'prompt': 2318078, 'completion': 10824, 'calls': 10800, 'cached': 0, 'errors': 0}
  11200/12640  226s  usage={'prompt': 2407427, 'completion': 11224, 'calls': 11200, 'cached': 0, 'errors': 0}
  11600/12640  234s  usage={'prompt': 2499416, 'completion': 11624, 'calls': 11600, 'cached': 0, 'errors': 0}
  12000/12640  241s  usage={'prompt': 2595545, 'completion': 12024, 'calls': 12000, 'cached': 0, 'errors': 0}
  12400/12640  249s  usage={'prompt': 2691271, 'completion': 12424, 'calls': 12400, 'cached': 0, 'errors': 0}
DONE 256.00340580940247 s {'prompt': 2748384, 'completion': 12664, 'calls': 12640, 'cached': 0, 'errors': 0}
