pairs=82 jobs=12640
  400/12640  37s  usage={'prompt': 33668, 'completion': 908, 'calls': 400, 'cached': 0, 'errors': 0}
  800/12640  73s  usage={'prompt': 67241, 'completion': 1852, 'calls': 800, 'cached': 0, 'errors': 0}
  1200/12640  108s  usage={'prompt': 100700, 'completion': 2732, 'calls': 1200, 'cached': 0, 'errors': 0}
  1600/12640  173s  usage={'prompt': 180883, 'completion': 3696, 'calls': 1600, 'cached': 0, 'errors': 0}
  2000/12640  213s  usage={'prompt': 267529, 'completion': 4645, 'calls': 1988, 'cached': 0, 'errors': 0}
  2400/12640  241s  usage={'prompt': 356460, 'completion': 5597, 'calls': 2388, 'cached': 0, 'errors': 0}
  2800/12640  302s  usage={'prompt': 452314, 'completion': 6503, 'calls': 2788, 'cached': 0, 'errors': 0}
  3200/12640  327s  usage={'prompt': 550831, 'completion': 7375, 'calls': 3184, 'cached': 0, 'errors': 0}
  3600/12640  402s  usage={'prompt': 649924, 'completion': 8277, 'calls': 3583, 'cached': 0, 'errors': 0}
  4000/12640  433s  usage={'prompt': 746964, 'completion': 9113, 'calls': 3965, 'cached': 0, 'errors': 0}
  4400/12640  459s  usage={'prompt': 852818, 'completion': 10025, 'calls': 4365, 'cached': 0, 'errors': 0}
  4800/12640  523s  usage={'prompt': 958189, 'completion': 10961, 'calls': 4765, 'cached': 0, 'errors': 0}
  5200/12640  564s  usage={'prompt': 1055401, 'completion': 11876, 'calls': 5164, 'cached': 0, 'errors': 0}
  5600/12640  589s  usage={'prompt': 1143178, 'completion': 12784, 'calls': 5564, 'cached': 0, 'errors': 0}
  6000/12640  669s  usage={'prompt': 1229114, 'completion': 13673, 'calls': 5960, 'cached': 0, 'errors': 0}
  6400/12640  707s  usage={'prompt': 1315497, 'completion': 14561, 'calls': 6353, 'cached': 0, 'errors': 0}
  6800/12640  749s  usage={'prompt': 1413636, 'completion': 15441, 'calls': 6753, 'cached': 0, 'errors': 0}
  7200/12640  790s  usage={'prompt': 1510783, 'completion': 16365, 'calls': 7153, 'cached': 0, 'errors': 0}
  7600/12640  818s  usage={'prompt': 1608442, 'completion': 17269, 'calls': 7553, 'cached': 0, 'errors': 0}
  8000/12640  905s  usage={'prompt': 1707553, 'completion': 18123, 'calls': 7938, 'cached': 0, 'errors': 0}
  8400/12640  972s  usage={'prompt': 1809096, 'completion': 19000, 'calls': 8332, 'cached': 0, 'errors': 0}
  8800/12640  997s  usage={'prompt': 1911215, 'completion': 19876, 'calls': 8728, 'cached': 0, 'errors': 0}
  9200/12640  1038s  usage={'prompt': 1997089, 'completion': 20786, 'calls': 9127, 'cached': 0, 'errors': 1}
  9600/12640  1070s  usage={'prompt': 2081244, 'completion': 21694, 'calls': 9527, 'cached': 0, 'errors': 1}
  10000/12640  1144s  usage={'prompt': 2165126, 'completion': 22598, 'calls': 9927, 'cached': 0, 'errors': 1}
  10400/12640  1185s  usage={'prompt': 2251402, 'completion': 23474, 'calls': 10309, 'cached': 0, 'errors': 1}
  10800/12640  1219s  usage={'prompt': 2344487, 'completion': 24354, 'calls': 10709, 'cached': 0, 'errors': 1}
  11200/12640  1265s  usage={'prompt': 2437213, 'completion': 25266, 'calls': 11109, 'cached': 0, 'errors': 1}
  11600/12640  1291s  usage={'prompt': 2532844, 'completion': 26138, 'calls': 11509, 'cached': 0, 'errors': 1}
  12000/12640  1389s  usage={'prompt': 2629888, 'completion': 27000, 'calls': 11900, 'cached': 0, 'errors': 1}
  12400/12640  1424s  usage={'prompt': 2728107, 'completion': 27922, 'calls': 12297, 'cached': 0, 'errors': 1}
DONE 1458.7902920246124 s {'prompt': 2787147, 'completion': 28470, 'calls': 12537, 'cached': 0, 'errors': 1}
