pairs=82 jobs=12640
  400/12640  16s  usage={'prompt': 37469, 'completion': 814, 'calls': 400, 'cached': 0, 'errors': 0}
  800/12640  31s  usage={'prompt': 75256, 'completion': 1629, 'calls': 800, 'cached': 0, 'errors': 0}
  1200/12640  44s  usage={'prompt': 112756, 'completion': 2459, 'calls': 1200, 'cached': 0, 'errors': 0}
  1600/12640  58s  usage={'prompt': 195767, 'completion': 3386, 'calls': 1600, 'cached': 0, 'errors': 0}
  2000/12640  75s  usage={'prompt': 288648, 'completion': 4209, 'calls': 2000, 'cached': 0, 'errors': 0}
  2400/12640  89s  usage={'prompt': 381286, 'completion': 5052, 'calls': 2400, 'cached': 0, 'errors': 0}
  2800/12640  101s  usage={'prompt': 479837, 'completion': 5885, 'calls': 2800, 'cached': 0, 'errors': 0}
  3200/12640  114s  usage={'prompt': 582500, 'completion': 6708, 'calls': 3200, 'cached': 0, 'errors': 0}
  3600/12640  129s  usage={'prompt': 684626, 'completion': 7570, 'calls': 3600, 'cached': 0, 'errors': 0}
  4000/12640  142s  usage={'prompt': 789005, 'completion': 8403, 'calls': 4000, 'cached': 0, 'errors': 0}
  4400/12640  157s  usage={'prompt': 897888, 'completion': 9222, 'calls': 4400, 'cached': 0, 'errors': 0}
  4800/12640  175s  usage={'prompt': 1006289, 'completion': 10078, 'calls': 4800, 'cached': 0, 'errors': 0}
  5200/12640  189s  usage={'prompt': 1106026, 'completion': 10904, 'calls': 5200, 'cached': 0, 'errors': 0}
  5600/12640  206s  usage={'prompt': 1197320, 'completion': 11753, 'calls': 5600, 'cached': 0, 'errors': 0}
  6000/12640  224s  usage={'prompt': 1287337, 'completion': 12598, 'calls': 6000, 'cached': 0, 'errors': 0}
  6400/12640  237s  usage={'prompt': 1377790, 'completion': 13445, 'calls': 6400, 'cached': 0, 'errors': 0}
  6800/12640  252s  usage={'prompt': 1479785, 'completion': 14321, 'calls': 6800, 'cached': 0, 'errors': 0}
  7200/12640  269s  usage={'prompt': 1580385, 'completion': 15239, 'calls': 7200, 'cached': 0, 'errors': 0}
  7600/12640  280s  usage={'prompt': 1681259, 'completion': 16171, 'calls': 7600, 'cached': 0, 'errors': 0}
  8000/12640  296s  usage={'prompt': 1787664, 'completion': 17016, 'calls': 8000, 'cached': 0, 'errors': 0}
  8400/12640  314s  usage={'prompt': 1894402, 'completion': 17854, 'calls': 8400, 'cached': 0, 'errors': 0}
  8800/12640  334s  usage={'prompt': 2001393, 'completion': 18688, 'calls': 8800, 'cached': 0, 'errors': 0}
  9200/12640  350s  usage={'prompt': 2090485, 'completion': 19546, 'calls': 9200, 'cached': 0, 'errors': 0}
  9600/12640  364s  usage={'prompt': 2177115, 'completion': 20342, 'calls': 9600, 'cached': 0, 'errors': 0}
  10000/12640  385s  usage={'prompt': 2263814, 'completion': 21143, 'calls': 10000, 'cached': 0, 'errors': 0}
  10400/12640  402s  usage={'prompt': 2356402, 'completion': 21966, 'calls': 10400, 'cached': 0, 'errors': 0}
  10800/12640  421s  usage={'prompt': 2452200, 'completion': 22792, 'calls': 10800, 'cached': 0, 'errors': 0}
  11200/12640  450s  usage={'prompt': 2547539, 'completion': 23626, 'calls': 11200, 'cached': 0, 'errors': 0}
  11600/12640  466s  usage={'prompt': 2645812, 'completion': 24436, 'calls': 11600, 'cached': 0, 'errors': 0}
  12000/12640  495s  usage={'prompt': 2747902, 'completion': 25224, 'calls': 12000, 'cached': 0, 'errors': 0}
  12400/12640  528s  usage={'prompt': 2850379, 'completion': 26023, 'calls': 12400, 'cached': 0, 'errors': 0}
DONE 553.2694067955017 s {'prompt': 2910555, 'completion': 26503, 'calls': 12640, 'cached': 0, 'errors': 0}
