pairs=82 jobs=12640
  400/12640  9s  usage={'prompt': 34893, 'completion': 1070, 'calls': 400, 'cached': 0, 'errors': 0}
  800/12640  17s  usage={'prompt': 69786, 'completion': 2173, 'calls': 800, 'cached': 0, 'errors': 0}
  1200/12640  25s  usage={'prompt': 104451, 'completion': 3184, 'calls': 1200, 'cached': 0, 'errors': 0}
  1600/12640  35s  usage={'prompt': 186112, 'completion': 4524, 'calls': 1600, 'cached': 0, 'errors': 0}
  2000/12640  47s  usage={'prompt': 277020, 'completion': 5806, 'calls': 2000, 'cached': 0, 'errors': 0}
  2400/12640  57s  usage={'prompt': 367786, 'completion': 7103, 'calls': 2400, 'cached': 0, 'errors': 0}
  2800/12640  66s  usage={'prompt': 464356, 'completion': 8375, 'calls': 2800, 'cached': 0, 'errors': 0}
  3200/12640  75s  usage={'prompt': 564649, 'completion': 9715, 'calls': 3200, 'cached': 0, 'errors': 0}
  3600/12640  84s  usage={'prompt': 664807, 'completion': 11026, 'calls': 3600, 'cached': 0, 'errors': 0}
  4000/12640  93s  usage={'prompt': 767102, 'completion': 12266, 'calls': 4000, 'cached': 0, 'errors': 0}
  4400/12640  102s  usage={'prompt': 874097, 'completion': 13228, 'calls': 4400, 'cached': 0, 'errors': 0}
  4800/12640  111s  usage={'prompt': 980319, 'completion': 14152, 'calls': 4800, 'cached': 0, 'errors': 0}
  5200/12640  120s  usage={'prompt': 1078517, 'completion': 15092, 'calls': 5200, 'cached': 0, 'errors': 0}
  5600/12640  128s  usage={'prompt': 1167472, 'completion': 16091, 'calls': 5600, 'cached': 0, 'errors': 0}
  6000/12640  136s  usage={'prompt': 1255352, 'completion': 17090, 'calls': 6000, 'cached': 0, 'errors': 0}
  6400/12640  144s  usage={'prompt': 1344031, 'completion': 18183, 'calls': 6400, 'cached': 0, 'errors': 0}
  6800/12640  153s  usage={'prompt': 1443404, 'completion': 19467, 'calls': 6800, 'cached': 0, 'errors': 0}
  7200/12640  161s  usage={'prompt': 1542142, 'completion': 20726, 'calls': 7200, 'cached': 0, 'errors': 0}
  7600/12640  170s  usage={'prompt': 1641176, 'completion': 21865, 'calls': 7600, 'cached': 0, 'errors': 0}
  8000/12640  178s  usage={'prompt': 1745741, 'completion': 22759, 'calls': 8000, 'cached': 0, 'errors': 0}
  8400/12640  187s  usage={'prompt': 1850095, 'completion': 23648, 'calls': 8400, 'cached': 0, 'errors': 0}
  8800/12640  195s  usage={'prompt': 1954656, 'completion': 24533, 'calls': 8800, 'cached': 0, 'errors': 0}
  9200/12640  204s  usage={'prompt': 2041581, 'completion': 25721, 'calls': 9200, 'cached': 0, 'errors': 0}
  9600/12640  212s  usage={'prompt': 2126737, 'completion': 26836, 'calls': 9600, 'cached': 0, 'errors': 0}
  10000/12640  220s  usage={'prompt': 2211460, 'completion': 28009, 'calls': 10000, 'cached': 0, 'errors': 0}
  10400/12640  229s  usage={'prompt': 2302627, 'completion': 29050, 'calls': 10400, 'cached': 0, 'errors': 0}
  10800/12640  238s  usage={'prompt': 2396697, 'completion': 30045, 'calls': 10800, 'cached': 0, 'errors': 0}
  11200/12640  246s  usage={'prompt': 2490663, 'completion': 31060, 'calls': 11200, 'cached': 0, 'errors': 0}
  11600/12640  253s  usage={'prompt': 2586993, 'completion': 32080, 'calls': 11600, 'cached': 0, 'errors': 0}
  12000/12640  261s  usage={'prompt': 2687049, 'completion': 33028, 'calls': 12000, 'cached': 0, 'errors': 0}
  12400/12640  269s  usage={'prompt': 2787076, 'completion': 33943, 'calls': 12400, 'cached': 0, 'errors': 0}
DONE 275.9735040664673 s {'prompt': 2846713, 'completion': 34509, 'calls': 12640, 'cached': 0, 'errors': 0}
