pairs=82 jobs=12640
  400/12640  9s  usage={'prompt': 31729, 'completion': 804, 'calls': 400, 'cached': 0, 'errors': 0}
  800/12640  16s  usage={'prompt': 63456, 'completion': 1629, 'calls': 800, 'cached': 0, 'errors': 0}
  1200/12640  24s  usage={'prompt': 95183, 'completion': 2438, 'calls': 1200, 'cached': 0, 'errors': 0}
  1600/12640  33s  usage={'prompt': 174122, 'completion': 3262, 'calls': 1600, 'cached': 0, 'errors': 0}
  2000/12640  42s  usage={'prompt': 262395, 'completion': 4090, 'calls': 2000, 'cached': 0, 'errors': 0}
  2400/12640  50s  usage={'prompt': 350473, 'completion': 4915, 'calls': 2400, 'cached': 0, 'errors': 0}
  2800/12640  60s  usage={'prompt': 444910, 'completion': 5736, 'calls': 2800, 'cached': 0, 'errors': 0}
  3200/12640  68s  usage={'prompt': 542837, 'completion': 6544, 'calls': 3200, 'cached': 0, 'errors': 0}
  3600/12640  75s  usage={'prompt': 640914, 'completion': 7356, 'calls': 3600, 'cached': 0, 'errors': 0}
  4000/12640  83s  usage={'prompt': 740973, 'completion': 8173, 'calls': 4000, 'cached': 0, 'errors': 0}
  4400/12640  92s  usage={'prompt': 845218, 'completion': 9005, 'calls': 4400, 'cached': 0, 'errors': 0}
  4800/12640  99s  usage={'prompt': 949159, 'completion': 9861, 'calls': 4800, 'cached': 0, 'errors': 0}
  5200/12640  107s  usage={'prompt': 1045366, 'completion': 10690, 'calls': 5200, 'cached': 0, 'errors': 0}
  5600/12640  114s  usage={'prompt': 1132055, 'completion': 11502, 'calls': 5600, 'cached': 0, 'errors': 0}
  6000/12640  121s  usage={'prompt': 1217908, 'completion': 12318, 'calls': 6000, 'cached': 0, 'errors': 0}
  6400/12640  128s  usage={'prompt': 1304737, 'completion': 13137, 'calls': 6400, 'cached': 0, 'errors': 0}
  6800/12640  135s  usage={'prompt': 1401769, 'completion': 13943, 'calls': 6800, 'cached': 0, 'errors': 0}
  7200/12640  142s  usage={'prompt': 1497928, 'completion': 14781, 'calls': 7200, 'cached': 0, 'errors': 0}
  7600/12640  149s  usage={'prompt': 1594318, 'completion': 15597, 'calls': 7600, 'cached': 0, 'errors': 0}
  8000/12640  156s  usage={'prompt': 1696389, 'completion': 16433, 'calls': 8000, 'cached': 0, 'errors': 0}
  8400/12640  164s  usage={'prompt': 1798379, 'completion': 17279, 'calls': 8400, 'cached': 0, 'errors': 0}
  8800/12640  172s  usage={'prompt': 1900591, 'completion': 18143, 'calls': 8800, 'cached': 0, 'errors': 0}
  9200/12640  181s  usage={'prompt': 1986399, 'completion': 18955, 'calls': 9200, 'cached': 0, 'errors': 0}
  9600/12640  192s  usage={'prompt': 2070175, 'completion': 19759, 'calls': 9600, 'cached': 0, 'errors': 0}
  10000/12640  203s  usage={'prompt': 2153903, 'completion': 20584, 'calls': 10000, 'cached': 0, 'errors': 0}
  10400/12640  212s  usage={'prompt': 2242033, 'completion': 21392, 'calls': 10400, 'cached': 0, 'errors': 0}
  10800/12640  221s  usage={'prompt': 2332333, 'completion': 22204, 'calls': 10800, 'cached': 0, 'errors': 0}
  11200/12640  231s  usage={'prompt': 2422697, 'completion': 23012, 'calls': 11200, 'cached': 0, 'errors': 0}
  11600/12640  240s  usage={'prompt': 2515823, 'completion': 23821, 'calls': 11600, 'cached': 0, 'errors': 0}
  12000/12640  247s  usage={'prompt': 2612754, 'completion': 24641, 'calls': 12000, 'cached': 0, 'errors': 0}
  12400/12640  255s  usage={'prompt': 2709529, 'completion': 25502, 'calls': 12400, 'cached': 0, 'errors': 0}
DONE 263.61066699028015 s {'prompt': 2767264, 'completion': 26014, 'calls': 12640, 'cached': 0, 'errors': 0}
