model,ok,invQC,cloud,c1,hyst,b2
gemma27b,0.9962113239318038,0.9922480620155039,0.19310926124835895,0.7814199360411486,0.5956036654961844,0.713808998725817
gpt41mini,1.0,1.0,0.07910401002506266,0.719166053723096,0.427237911832802,0.43134432427539676
llama70b,0.9533782361608083,0.9736354001059885,0.1716672633965867,0.7181004184605714,0.22914555566110084,0.215657777773263
qwen72b,0.9995439556584579,1.0,0.06651300871225682,0.36741542162908075,0.3680752675622691,0.2456709575997754
deepseek,0.9998417721518987,1.0,0.13800125313283207,0.7140065128033563,0.5522749536912904,0.2819264209502897
mistral,0.9970727848101266,0.9511488423671968,0.1934747583243824,0.6771915677546197,0.45308750308750306,0.3812052309261333
kimi,0.9296677215189874,1.0,0.14181137367227598,0.6192083768817297,0.38328488311632464,0.5425342454854863
cohere,1.0,0.9854166666666666,0.13455513784461157,0.5623881750625679,0.4514697012984907,0.612552820399256
gemma12b,1.0,0.9249999999999999,0.17606516290726815,0.7454769513677743,0.5779065007314007,0.7506048767445884
llama8b,0.9667721518987342,0.7853939860613673,0.13995554362095716,0.2597254545596666,0.23093868445468127,0.0654954941192241
llama33,0.9965189873417721,1.0,0.14225295381310418,0.7381546957718105,0.29597446436984304,0.08823064699651739
gpt4omini,1.0,1.0,0.1520989974937343,0.7716545559401086,0.5033651688905635,0.5911268826723003
